"id";"id_community";"profile_1";"profile_2";"reputation";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"interactions";"strongly_component";"weakly_component";"answers";"comments";"questions"
"22097";"2";"4";"4";"4364";"307562,5768971387";"0,33487693478812486";"6";"0,35777925112077674";"0,000678685229844684";"69";"51";"120";"0,10994135609810128";"24";"0,07688238471746445";"196";"1043";"0";"41";"67";"12"
"22100";"2";"4";"4";"310";"15990,265714366746";"0,2712325951805991";"8";"0,28406692284794016";"0,00007897078576770897";"7";"7";"14";"0,007195013026586072";"24";"0,37272727489471436";"21";"1043";"0";"2";"11";"1"
"22101";"2";"4";"4";"1247";"49866,589100765355";"0,30449328026763567";"7";"0,3214975780044816";"0,0003381439944713195";"26";"18";"44";"0,04691715522623667";"24";"0,13846154510974884";"69";"1043";"0";"5";"29";"8"
"22102";"2";"4";"4";"1653";"16599,93140404598";"0,30325137867647056";"7";"0,31840806790606907";"0,00007232405630182667";"9";"15";"24";"0,008252631060402112";"24";"0,1894736886024475";"32";"1043";"0";"10";"5";"1"
"22104";"2";"4";"4";"3595";"264666,9140834609";"0,34395360959082616";"7";"0,3685880262315036";"0,0016041803643690874";"149";"45";"194";"0,24042967522816494";"24";"0,08465608209371567";"512";"1043";"0";"33";"309";"9"
"22106";"2";"4";"4";"376";"119,92665198537927";"0,2715115980044232";"8";"0,28396228542562924";"0,00004665429498532356";"1";"9";"10";"0,0012769108796004732";"24";"0,2222222238779068";"16";"1043";"0";"0";"1";"2"
"22107";"2";"4";"4";"121";"0";"0,2655668443818529";"8";"0,2772614538239527";"0,00001555224691017904";"0";"3";"3";"0";"39";"0";"4";"2859";"0";"0";"0";"1"
"22108";"2";"4";"4";"159";"2,8056616121301348";"0,2140366526110931";"9";"0,22016893832106166";"0,00003308789594909046";"2";"2";"4";"0,0005823435756612637";"24";"0,1666666716337204";"4";"1043";"0";"1";"1";"0"
"22111";"2";"4";"4";"511";"3277,6975785122213";"0,23155539959645582";"8";"0,2391682226973073";"0,000046582099061184096";"6";"5";"11";"0,0040500877989652845";"24";"0,24444444477558136";"15";"1043";"0";"3";"4";"0"
"22112";"2";"4";"4";"9576";"817484,8833246661";"0,3454616844447353";"7";"0,37300985937089565";"0,0018994075671680691";"187";"92";"279";"0,14207751848143835";"24";"0,034263741225004196";"543";"1043";"0";"75";"287";"28"
"22113";"2";"4";"4";"573";"52633,99268778185";"0,30954614753137094";"7";"0,32833148413749613";"0,0001633807636533237";"6";"20";"26";"0,03799541699709489";"24";"0,23333333432674408";"51";"1043";"0";"0";"26";"11"
"22114";"2";"4";"4";"121";"10484,589559280772";"0,24634840636520602";"8";"0,2549339701783389";"0,00005035500552446286";"2";"2";"4";"0,0030104354762548707";"25";"0";"6";"1043";"0";"0";"4";"1"
"22115";"2";"4";"4";"1004";"87779,62961583238";"0,3092197750702905";"7";"0,32682235993467973";"0,00021575145886852532";"25";"18";"43";"0,021980590463975984";"24";"0,09388335794210434";"54";"1043";"0";"10";"21";"7"
"22119";"2";"1";"1";"62";"0";"0,30303030303030304";"7";"0,3194417388167282";"0,00001555224691017904";"0";"6";"6";"0";"25";"0,3333333432674408";"6";"2865";"0";"0";"0";"2"
"22120";"2";"4";"4";"15785";"1087067,2284775476";"0,36068597977589506";"7";"0,39203312315642574";"0,0018965245057062077";"190";"129";"319";"0,15066560573082236";"24";"0,04397084191441536";"670";"1043";"0";"167";"210";"31"
"22121";"2";"1";"4";"103";"0";"0";"0";"0";"0,000021580721055824268";"1";"0";"1";"0,00031355470119793334";"24";"0";"1";"272";"0";"0";"1";"0"
"22122";"2";"4";"4";"2843";"34967,19793023829";"0,3011580808945177";"7";"0,3169575767416171";"0,000310588323379229";"34";"14";"48";"0,03697837319696658";"24";"0,15169133245944977";"87";"1043";"0";"26";"39";"1"
"22124";"2";"4";"4";"312";"1064,156945429834";"0,26074286278771114";"8";"0,2718302077413664";"0,00004958064014722714";"3";"8";"11";"0,0035381416764691683";"24";"0,2361111044883728";"12";"1043";"0";"0";"4";"3"
"22125";"2";"4";"4";"590";"21586,44512428394";"0,2728024391504315";"8";"0,2862895660253093";"0,00007784465421418709";"7";"11";"18";"0,007471276371548444";"24";"0,3131868243217468";"22";"1043";"0";"2";"6";"2"
"22126";"2";"4";"4";"248";"0";"0,310661332078136";"7";"0,32888933982682833";"0,00001555224691017904";"0";"8";"8";"0";"24";"0,375";"9";"2866";"0";"0";"0";"3"
"22128";"2";"1";"4";"102";"0";"0,2270537634408602";"8";"0,2337117419424759";"0,000019676652989457966";"1";"1";"2";"0,00022830108159166066";"24";"0";"2";"1043";"0";"0";"1";"1"
"22129";"2";"4";"4";"4657";"310078,5249466891";"0,3262468327050244";"7";"0,34850530854507406";"0,0014132880499495932";"134";"43";"177";"0,16696941357382927";"24";"0,06149835139513016";"263";"1043";"0";"63";"127";"0"
"22132";"2";"4";"4";"290";"1121,3443434614267";"0,2812466702184337";"8";"0,29451848744801506";"0,00018383424660320312";"6";"5";"11";"0,02300963608358217";"24";"0,6428571343421936";"11";"1043";"0";"1";"5";"2"
"22133";"2";"4";"4";"879";"30978,804980612564";"0,3153147772070243";"7";"0,33383893053336816";"0,0001075250058129371";"6";"14";"20";"0,015127351715736263";"24";"0,20915032923221588";"22";"1043";"0";"2";"4";"6"
"22135";"2";"4";"4";"128";"307,24966804081123";"0,23484140753592242";"8";"0,24193141738605559";"0,000059734417682675055";"3";"1";"4";"0,006054747954129138";"24";"0,5";"4";"1043";"0";"0";"3";"1"
"22137";"2";"4";"4";"789";"27431,074687088625";"0,3268123568377391";"7";"0,3479735519894494";"0,00007968179784924819";"10";"22";"32";"0,006111432242712659";"24";"0,23152709007263184";"63";"1043";"0";"5";"18";"7"
"22140";"2";"4";"4";"492";"39598,91463568471";"0,3067046246804555";"7";"0,32374863565428846";"0,00006187111704894659";"6";"15";"21";"0,0024288914339123976";"24";"0,22514620423316956";"27";"1043";"0";"1";"6";"3"
"22142";"2";"4";"4";"181";"0";"0,26514010244049413";"8";"0,2763760371572867";"0,00001555224691017904";"0";"2";"2";"0";"24";"0";"2";"2871";"0";"0";"0";"1"
"22143";"2";"4";"4";"624";"0";"0,2909641873278237";"7";"0,3051257427795892";"0,00001555224691017904";"0";"15";"15";"0";"24";"0,10476190596818924";"17";"2873";"0";"0";"0";"2"
"22144";"2";"4";"4";"158";"0";"0,2903172595810194";"7";"0,3042401695526624";"0,00001555224691017904";"1";"2";"3";"0,0001927139082221773";"24";"0,5";"3";"2874";"0";"1";"0";"1"
"22147";"2";"4";"4";"1047";"47739,09760633757";"0,3133681586133207";"7";"0,33214353367790145";"0,00009258482119397406";"10";"27";"37";"0,01052486997152719";"24";"0,19886364042758942";"69";"1043";"0";"3";"17";"18"
"22150";"2";"4";"4";"162";"172,5795289336239";"0,27023291528026616";"8";"0,2816543988309457";"0,00006234076236286572";"3";"3";"6";"0,008079628577333579";"27";"0,10000000149011612";"6";"1043";"0";"1";"2";"1"
"22151";"2";"4";"4";"400";"54139,06712298832";"0,2169392619380291";"9";"0,22320252152134187";"0,00043069453433533636";"20";"2";"22";"0,06999956413881613";"24";"0,15238095819950104";"25";"1043";"0";"4";"19";"0"
"22154";"2";"4";"4";"2088";"13029,36544168768";"0,3015882084095064";"7";"0,3177865576994107";"0,00021239475065625273";"12";"13";"25";"0,019897519130016975";"24";"0,385869562625885";"54";"1043";"0";"13";"17";"1"
"22155";"2";"4";"4";"111";"0";"0";"0";"0";"0,00011392142086204092";"5";"0";"5";"0,023143169390038378";"39";"0,20000000298023224";"6";"215";"0";"0";"6";"0"
"22156";"2";"1";"1";"79";"110,11883550165595";"0,2722958683653995";"7";"0,28340549707285523";"0,000047402589211594315";"3";"2";"5";"0,0009816101967363349";"39";"0";"6";"1043";"0";"2";"1";"0"
"22157";"2";"4";"4";"121";"0";"0,2777047283437648";"8";"0,2903763077200547";"0,00001555224691017904";"0";"3";"3";"0";"24";"0,5";"3";"2877";"0";"0";"0";"1"
