"period";"avgSize";"containsOutstanding"
"0";"1,0000";"1"
"1";"3,0000";"1"
"6";"1,0000";"0"
"6";"4,3238";"1"
"7";"3,7177";"1"
"8";"1,0000";"0"
"8";"3,6345";"1"
"9";"3,9609";"1"
"10";"1,0000";"0"
"10";"3,7444";"1"
"11";"4,8047";"1"
"12";"1,0000";"0"
"12";"3,3407";"1"
"13";"4,7813";"1"
"14";"5,0109";"1"
"15";"1,0000";"0"
"15";"4,4921";"1"
"16";"3,8455";"1"
"17";"1,0000";"0"
"17";"3,6923";"1"
"18";"4,0000";"0"
"18";"3,4762";"1"
"19";"3,0732";"1"
"20";"1,0000";"0"
"20";"3,4932";"1"
"21";"3,1062";"1"
"22";"3,5294";"1"
"23";"2,0000";"0"
"23";"3,2583";"1"
"24";"1,0000";"0"
"24";"3,4247";"1"
"25";"1,3333";"0"
"25";"3,4142";"1"
"26";"1,0000";"0"
"26";"3,5738";"1"
"27";"2,0000";"0"
"27";"3,1951";"1"
"28";"1,0000";"0"
"28";"3,7500";"1"
"29";"1,0000";"0"
"29";"4,1010";"1"
"30";"3,9075";"1"
"31";"1,0000";"0"
"31";"3,7059";"1"
"32";"2,0000";"0"
"32";"3,5143";"1"
"33";"1,0000";"0"
"33";"3,3333";"1"
"34";"1,3333";"0"
"34";"3,3248";"1"
"35";"1,5000";"0"
"35";"3,6762";"1"
"36";"1,0000";"0"
"36";"3,5634";"1"
"37";"1,0000";"0"
"37";"3,4272";"1"
"38";"1,0000";"0"
"38";"3,5388";"1"
"39";"3,5671";"1"
"40";"1,0000";"0"
"40";"3,3763";"1"
"41";"1,0000";"0"
"41";"3,8479";"1"
"42";"1,0000";"0"
"42";"4,3024";"1"
"43";"4,7928";"1"
"44";"1,0000";"0"
"44";"3,8528";"1"
"45";"3,0000";"0"
"45";"4,1637";"1"
"46";"1,6000";"0"
"46";"4,1512";"1"
"47";"1,5000";"0"
"47";"4,7881";"1"
"48";"1,0000";"0"
"48";"4,1960";"1"
"49";"1,0000";"0"
"49";"4,2662";"1"
"50";"1,0000";"0"
"50";"4,2795";"1"
"51";"1,0000";"0"
"51";"3,1944";"1"
"52";"1,5000";"0"
"52";"3,1413";"1"
"53";"3,0000";"0"
"53";"3,2458";"1"
"54";"1,1000";"0"
"54";"3,6106";"1"
"55";"1,8000";"0"
"55";"3,7371";"1"
"56";"1,0000";"0"
"56";"3,2055";"1"
"57";"1,0000";"0"
"57";"3,2617";"1"
"58";"1,0000";"0"
"58";"3,5658";"1"
"59";"1,3333";"0"
"59";"3,2348";"1"
"60";"1,2000";"0"
"60";"3,6250";"1"
"61";"1,5000";"0"
"61";"2,7992";"1"
"62";"1,2857";"0"
"62";"3,4368";"1"
"63";"1,0000";"0"
"63";"3,2868";"1"
"64";"1,0000";"0"
"64";"3,0280";"1"
"65";"1,0000";"0"
"65";"3,2527";"1"
"66";"1,0000";"0"
"66";"3,4416";"1"
"67";"1,0000";"0"
"67";"3,3579";"1"
"68";"1,2500";"0"
"68";"3,3419";"1"
"69";"2,0000";"0"
"69";"3,8145";"1"
"70";"1,0000";"0"
"70";"3,4401";"1"
"71";"1,2222";"0"
"71";"2,9763";"1"
"72";"1,0000";"0"
"72";"2,7847";"1"
