"period";"avgSize";"containsOutstanding"
"0";"4,0000";"1"
"1";"2,0000";"1"
"2";"4,6899";"1"
"3";"3,6341";"1"
"4";"4,6481";"1"
"5";"3,5789";"1"
"6";"3,2794";"1"
"7";"1,0000";"0"
"7";"2,8312";"1"
"8";"3,5362";"1"
"9";"1,0000";"0"
"9";"2,9286";"1"
"10";"3,5263";"1"
"11";"1,0000";"0"
"11";"2,8085";"1"
"12";"3,4578";"1"
"13";"3,6204";"1"
"14";"3,2832";"1"
"15";"1,0000";"0"
"15";"3,4655";"1"
"16";"3,2500";"1"
"17";"2,0000";"0"
"17";"3,3514";"1"
"18";"3,4068";"1"
"19";"2,4918";"1"
"20";"3,5500";"1"
"21";"1,0000";"0"
"21";"3,0813";"1"
"22";"1,0000";"0"
"22";"2,7849";"1"
"23";"3,3990";"1"
"24";"3,8333";"1"
"25";"3,0000";"0"
"25";"4,4980";"1"
"26";"1,5000";"0"
"26";"3,7054";"1"
"27";"1,0000";"0"
"27";"4,0694";"1"
"28";"1,0000";"0"
"28";"4,4779";"1"
"29";"1,0000";"0"
"29";"4,7461";"1"
"30";"2,0000";"0"
"30";"4,5286";"1"
"31";"4,1620";"1"
"32";"1,0000";"0"
"32";"3,4229";"1"
"33";"1,0000";"0"
"33";"3,2287";"1"
"34";"1,0000";"0"
"34";"4,0413";"1"
"35";"1,0000";"0"
"35";"3,3239";"1"
"36";"1,0000";"0"
"36";"3,6845";"1"
"37";"1,0000";"0"
"37";"3,6667";"1"
"38";"1,8000";"0"
"38";"3,5623";"1"
"39";"1,0000";"0"
"39";"3,9780";"1"
"40";"1,5000";"0"
"40";"3,8997";"1"
"41";"1,1667";"0"
"41";"3,4514";"1"
"42";"1,0000";"0"
"42";"3,3489";"1"
"43";"1,6000";"0"
"43";"3,1568";"1"
"44";"1,3333";"0"
"44";"3,4555";"1"
"45";"1,2500";"0"
"45";"3,6563";"1"
"46";"1,6000";"0"
"46";"3,6127";"1"
"47";"1,2308";"0"
"47";"3,4000";"1"
"48";"1,4615";"0"
"48";"3,2816";"1"
"49";"1,0000";"0"
"49";"3,4641";"1"
"50";"1,1667";"0"
"50";"3,3861";"1"
"51";"1,1818";"0"
"51";"3,2027";"1"
"52";"3,5714";"0"
"52";"3,3297";"1"
"53";"1,9091";"0"
"53";"3,3407";"1"
"54";"2,1667";"0"
"54";"3,4101";"1"
"55";"2,5000";"0"
"55";"3,6753";"1"
"56";"1,3750";"0"
"56";"3,1928";"1"
"57";"1,2500";"0"
"57";"3,3449";"1"
"58";"2,0000";"0"
"58";"3,2814";"1"
"59";"1,1667";"0"
"59";"3,3224";"1"
"60";"1,8000";"0"
"60";"3,1826";"1"
"61";"1,5294";"0"
"61";"3,1252";"1"
"62";"1,4211";"0"
"62";"3,1198";"1"
"63";"1,2222";"0"
"63";"2,7807";"1"
