"id_user_source";"reciprocityCount";"profile_1";"profile_2"
"51065";"43";"4";"4"
"51067";"54";"1";"1"
"51076";"54";"1";"1"
"51078";"219";"4";"4"
"51079";"52";"4";"4"
"51087";"136";"4";"4"
"51093";"54";"4";"4"
"51094";"48";"4";"4"
"51098";"26";"4";"4"
"51104";"89";"4";"4"
"51108";"108";"4";"4"
"51109";"54";"4";"4"
"51110";"54";"1";"1"
"51111";"139";"4";"4"
"51113";"108";"4";"4"
"51115";"39";"4";"4"
"51121";"54";"4";"4"
"51122";"106";"1";"1"
"51124";"56";"4";"4"
"51146";"47";"4";"4"
"51149";"52";"4";"4"
"51172";"53";"4";"4"
"51184";"53";"1";"1"
"51195";"112";"4";"4"
"51196";"520";"4";"4"
"51204";"35";"4";"4"
"51206";"53";"1";"1"
"51210";"53";"4";"4"
"51231";"53";"4";"4"
"51233";"47";"4";"4"
"51236";"29";"4";"4"
"51242";"191";"4";"4"
"51250";"53";"4";"4"
"51254";"106";"4";"4"
"51259";"19";"4";"4"
"51264";"237";"4";"4"
"51266";"48";"4";"4"
"51271";"53";"4";"4"
"51273";"26";"1";"1"
"51282";"33";"4";"4"
"51290";"49";"4";"4"
"51293";"52";"4";"4"
"51303";"52";"4";"4"
"51304";"49";"4";"4"
"51307";"1191";"4";"4"
"51321";"50";"4";"4"
"51322";"419";"4";"4"
"51323";"52";"1";"1"
"51326";"52";"4";"4"
"51330";"50";"1";"1"
"51332";"46";"4";"4"
"51333";"47";"1";"1"
"51334";"32";"1";"1"
"51336";"47";"4";"4"
"51339";"52";"1";"1"
"51342";"510";"4";"4"
"51344";"144";"4";"4"
"51347";"5";"4";"4"
"51356";"52";"4";"4"
"51360";"52";"4";"4"
"51361";"182";"4";"4"
"51362";"332";"4";"4"
"51363";"50";"4";"4"
"51367";"51";"4";"4"
"51377";"59";"4";"4"
"51381";"1251";"4";"4"
"51391";"27";"4";"4"
"51397";"102";"1";"1"
"51407";"323";"4";"4"
"51412";"6";"4";"4"
"51421";"90";"4";"4"
"51426";"570";"4";"4"
"51430";"38";"4";"4"
"51432";"51";"1";"1"
"51441";"51";"1";"1"
"51443";"22";"4";"4"
"51445";"38";"1";"1"
"51446";"1060";"4";"4"
"51448";"51";"4";"4"
"51449";"24";"4";"4"
"51451";"51";"4";"4"
"51457";"51";"1";"4"
"51463";"102";"1";"1"
"51468";"102";"4";"4"
"51478";"111";"4";"4"
"51490";"51";"1";"1"
"51492";"51";"4";"4"
"51502";"2251";"4";"4"
"51505";"96";"4";"4"
"51511";"50";"1";"1"
"51515";"49";"1";"1"
"51522";"50";"1";"1"
"51524";"50";"4";"4"
"51525";"50";"1";"1"
"51527";"100";"4";"4"
"51532";"278";"4";"4"
"51537";"83";"4";"4"
"51538";"50";"4";"4"
"51543";"50";"1";"1"
"51546";"142";"4";"4"
"51551";"194";"1";"4"
"51564";"48";"4";"4"
"51567";"964";"4";"4"
"51579";"847";"4";"4"
"51592";"50";"4";"4"
"51595";"48";"4";"4"
"51603";"50";"4";"4"
"51604";"49";"4";"4"
"51605";"50";"4";"4"
"51606";"50";"4";"4"
"51625";"50";"1";"1"
"51632";"34";"4";"4"
"51647";"126";"4";"4"
"51649";"49";"4";"4"
"51650";"98";"4";"4"
"51652";"42";"1";"1"
"51654";"188";"4";"4"
"51655";"707";"4";"4"
"51664";"45";"4";"4"
"51666";"47";"1";"1"
"51670";"93";"4";"4"
"51675";"49";"4";"4"
"51685";"49";"4";"4"
"51686";"98";"1";"1"
"51688";"147";"4";"4"
"51690";"49";"4";"4"
"51692";"49";"1";"1"
"51696";"49";"1";"1"
"51697";"91";"1";"1"
"51700";"45";"4";"4"
"51701";"49";"1";"1"
"51704";"49";"4";"4"
"51707";"49";"4";"4"
"51708";"18";"4";"4"
"51720";"89";"4";"4"
"51722";"19";"4";"4"
"51723";"83";"4";"4"
"51724";"49";"4";"4"
"51729";"98";"4";"4"
"51735";"49";"4";"4"
"51738";"87";"4";"4"
"51742";"80";"4";"4"
"51743";"576";"4";"4"
"51745";"49";"1";"1"
"51746";"198";"4";"4"
"51747";"49";"1";"1"
"51750";"49";"4";"4"
"51754";"49";"1";"1"
"51755";"15";"4";"4"
"51758";"38";"4";"4"
"51761";"32";"4";"4"
"51765";"86";"4";"4"
"51769";"48";"4";"4"
"51778";"96";"4";"4"
"51780";"48";"4";"4"
"51782";"40";"4";"4"
"51797";"143";"4";"4"
"51812";"48";"1";"1"
"51813";"48";"1";"4"
"51816";"48";"1";"1"
"51818";"329";"4";"4"
"51823";"28";"1";"1"
"51824";"91";"4";"4"
"51825";"48";"4";"4"
"51826";"1097";"4";"4"
"51827";"356";"4";"4"
"51828";"48";"4";"4"
"51831";"47";"4";"4"
"51835";"20";"4";"4"
"51838";"11";"4";"4"
"51867";"48";"4";"4"
"51871";"127";"4";"4"
"51872";"48";"4";"4"
"51874";"39";"4";"4"
"51877";"48";"1";"1"
"51879";"209";"4";"4"
"51887";"95";"4";"4"
"51892";"22";"4";"4"
"51897";"93";"1";"1"
"51902";"43";"4";"4"
"51908";"41";"4";"4"
"51910";"76";"4";"4"
"51913";"47";"4";"4"
"51918";"47";"1";"1"
"51923";"42";"1";"1"
"51928";"115";"4";"4"
"51937";"73";"4";"4"
"51942";"47";"4";"4"
"51944";"47";"1";"4"
"51953";"47";"4";"4"
"51968";"93";"4";"4"
"51970";"47";"1";"1"
"51972";"47";"1";"1"
"51975";"84";"4";"4"
"51977";"47";"1";"4"
"51978";"10";"4";"4"
"51985";"47";"1";"4"
"51994";"174";"4";"4"
"52000";"422";"4";"4"
"52001";"1439";"4";"4"
"52002";"93";"4";"4"
"52012";"94";"4";"4"
"52013";"31";"4";"4"
"52014";"347";"4";"4"
"52015";"46";"4";"4"
"52021";"157";"4";"4"
"52022";"709";"4";"4"
"52024";"150";"4";"4"
"52035";"47";"4";"4"
"52036";"112";"4";"4"
"52039";"47";"1";"1"
"52044";"610";"4";"4"
"52045";"47";"1";"1"
"52049";"47";"4";"4"
"52051";"143";"4";"4"
"52052";"29";"4";"4"
"52059";"46";"4";"4"
"52062";"46";"4";"4"
"52064";"92";"1";"4"
"52071";"63";"4";"4"
"52073";"45";"4";"4"
