"period";"profileUserSource";"profileUserDest";"total"
"56";"1";"1";"1775"
"56";"1";"4";"8546"
"56";"4";"1";"2444"
"56";"4";"4";"16632"
"57";"1";"1";"1859"
"57";"1";"4";"8915"
"57";"4";"1";"2533"
"57";"4";"4";"16990"
"58";"1";"1";"1927"
"58";"1";"4";"9189"
"58";"4";"1";"2627"
"58";"4";"4";"17391"
"59";"1";"1";"2002"
"59";"1";"4";"9485"
"59";"4";"1";"2712"
"59";"4";"4";"17697"
"60";"1";"1";"2092"
"60";"1";"4";"9829"
"60";"4";"1";"2800"
"60";"4";"4";"18002"
"61";"1";"1";"2189"
"61";"1";"4";"10175"
"61";"4";"1";"2878"
"61";"4";"4";"18219"
"62";"1";"1";"2304"
"62";"1";"4";"10561"
"62";"4";"1";"2995"
"62";"4";"4";"18567"
"63";"1";"1";"2390"
"63";"1";"4";"10925"
"63";"4";"1";"3084"
"63";"4";"4";"18914"
"64";"1";"1";"2482"
"64";"1";"4";"11290"
"64";"4";"1";"3188"
"64";"4";"4";"19204"
"65";"1";"1";"2561"
"65";"1";"4";"11626"
"65";"4";"1";"3255"
"65";"4";"4";"19544"
"66";"1";"1";"2638"
"66";"1";"4";"11950"
"66";"4";"1";"3326"
"66";"4";"4";"19843"
"67";"1";"1";"2744"
"67";"1";"4";"12323"
"67";"4";"1";"3423"
"67";"4";"4";"20189"
"68";"1";"1";"2855"
"68";"1";"4";"12763"
"68";"4";"1";"3522"
"68";"4";"4";"20579"
"69";"1";"1";"2955"
"69";"1";"4";"13208"
"69";"4";"1";"3612"
"69";"4";"4";"21066"
"70";"1";"1";"3092"
"70";"1";"4";"13766"
"70";"4";"1";"3760"
"70";"4";"4";"21607"
"71";"1";"1";"3223"
"71";"1";"4";"14325"
"71";"4";"1";"3867"
"71";"4";"4";"22006"
"72";"1";"1";"3303"
"72";"1";"4";"14627"
"72";"4";"1";"3947"
"72";"4";"4";"22169"
