"id_user_source";"reciprocityCount";"profile_1";"profile_2"
"28835";"50";"4";"4"
"28839";"186";"4";"4"
"28840";"154";"4";"4"
"28843";"37";"1";"4"
"28845";"62";"1";"1"
"28848";"62";"4";"4"
"28849";"58";"4";"4"
"28852";"230";"4";"4"
"28856";"123";"4";"4"
"28861";"57";"4";"4"
"28870";"62";"1";"1"
"28873";"62";"4";"4"
"28875";"362";"4";"4"
"28889";"111";"4";"4"
"28891";"94";"4";"4"
"28892";"62";"1";"1"
"28893";"41";"1";"4"
"28895";"61";"1";"4"
"28910";"62";"1";"4"
"28924";"61";"4";"4"
"28929";"36";"4";"4"
"28932";"61";"1";"1"
"28936";"111";"4";"4"
"28944";"244";"4";"4"
"28950";"61";"4";"4"
"28951";"2873";"4";"4"
"28954";"61";"4";"4"
"28955";"122";"4";"4"
"28956";"108";"4";"4"
"28959";"122";"4";"4"
"28960";"52";"4";"4"
"28962";"61";"4";"4"
"28966";"61";"1";"1"
"28973";"120";"1";"1"
"28974";"122";"4";"4"
"28977";"98";"4";"4"
"28988";"66";"4";"4"
"28990";"84";"4";"4"
"28991";"104";"1";"1"
"28992";"61";"1";"1"
"28995";"422";"4";"4"
"29001";"61";"4";"4"
"29002";"178";"4";"4"
"29003";"1083";"4";"4"
"29004";"142";"4";"4"
"29009";"48";"1";"1"
"29012";"61";"1";"1"
"29018";"52";"1";"4"
"29029";"122";"1";"1"
"29030";"61";"1";"1"
"29031";"30";"4";"4"
"29036";"61";"1";"1"
"29037";"240";"4";"4"
"29041";"151";"4";"4"
"29043";"61";"1";"4"
"29046";"120";"4";"4"
"29050";"119";"4";"4"
"29056";"41";"4";"4"
"29063";"192";"4";"4"
"29073";"42";"4";"4"
"29078";"98";"4";"4"
"29084";"59";"4";"4"
"29087";"144";"4";"4"
"29089";"141";"4";"4"
"29102";"60";"4";"4"
"29105";"98";"4";"4"
"29112";"1869";"4";"4"
"29113";"42";"1";"4"
"29116";"60";"1";"4"
"29117";"117";"4";"4"
"29119";"60";"4";"4"
"29123";"475";"4";"4"
"29139";"20";"1";"4"
"29142";"60";"4";"4"
"29146";"60";"4";"4"
"29147";"15";"4";"4"
"29148";"235";"4";"4"
"29149";"93";"4";"4"
"29151";"83";"1";"4"
"29156";"60";"1";"1"
"29157";"118";"4";"4"
"29163";"54";"4";"4"
"29167";"59";"1";"4"
"29170";"98";"4";"4"
"29175";"29";"4";"4"
"29176";"59";"4";"4"
"29178";"59";"4";"4"
"29180";"58";"4";"4"
"29188";"39";"4";"4"
"29193";"59";"4";"4"
"29199";"204";"4";"4"
"29205";"2567";"4";"4"
"29221";"114";"4";"4"
"29222";"55";"4";"4"
"29223";"59";"4";"4"
"29226";"83";"4";"4"
"29233";"59";"4";"4"
"29234";"58";"4";"4"
"29235";"59";"1";"1"
"29240";"59";"1";"1"
"29242";"59";"1";"1"
"29245";"333";"4";"4"
"29246";"105";"4";"4"
"29249";"147";"4";"4"
"29251";"59";"1";"1"
"29254";"97";"4";"4"
"29260";"59";"1";"1"
"29261";"52";"4";"4"
"29262";"59";"4";"4"
"29265";"160";"4";"4"
"29268";"116";"4";"4"
"29270";"59";"1";"1"
"29271";"4009";"4";"4"
"29272";"117";"4";"4"
"29273";"116";"4";"4"
"29284";"6326";"4";"4"
"29287";"116";"4";"4"
"29288";"174";"4";"4"
"29289";"58";"4";"4"
"29290";"3";"1";"4"
"29301";"146";"4";"4"
"29306";"58";"4";"4"
"29317";"116";"4";"4"
"29320";"58";"1";"1"
"29321";"56";"1";"1"
"29325";"58";"4";"4"
"29328";"174";"4";"4"
"29329";"1027";"4";"4"
"29330";"46";"4";"4"
"29333";"132";"4";"4"
"29337";"58";"1";"4"
"29338";"58";"1";"4"
"29342";"28";"4";"4"
"29345";"58";"4";"4"
"29348";"91";"4";"4"
"29360";"58";"4";"4"
"29363";"116";"1";"1"
"29367";"279";"4";"4"
"29379";"477";"4";"4"
"29380";"111";"4";"4"
"29381";"58";"4";"4"
"29384";"129";"1";"1"
"29387";"227";"4";"4"
"29392";"614";"4";"4"
"29394";"58";"1";"1"
"29398";"116";"4";"4"
"29400";"330";"4";"4"
"29401";"54";"4";"4"
"29403";"57";"1";"1"
"29406";"129";"4";"4"
"29407";"54";"4";"4"
"29415";"105";"1";"4"
"29417";"39";"4";"4"
"29419";"475";"4";"4"
"29421";"55";"4";"4"
"29428";"92";"4";"4"
"29430";"57";"1";"4"
"29432";"248";"4";"4"
"29441";"57";"1";"1"
"29445";"57";"1";"1"
"29447";"57";"4";"4"
"29458";"57";"4";"4"
"29463";"114";"4";"4"
"29465";"52";"4";"4"
"29467";"114";"4";"4"
"29473";"114";"1";"1"
"29475";"156";"4";"4"
"29499";"56";"1";"1"
"29508";"56";"4";"4"
"29510";"436";"4";"4"
"29512";"56";"4";"4"
"29515";"298";"4";"4"
"29516";"56";"4";"4"
"29517";"14";"4";"4"
"29518";"56";"4";"4"
"29520";"56";"4";"4"
"29521";"2903";"4";"4"
"29524";"44";"4";"4"
"29534";"104";"4";"4"
"29535";"222";"4";"4"
"29537";"56";"4";"4"
"29543";"56";"1";"1"
"29548";"112";"4";"4"
"29549";"96";"4";"4"
"29551";"25";"4";"4"
"29562";"188";"4";"4"
"29581";"103";"4";"4"
"29584";"56";"1";"1"
"29587";"259";"4";"4"
"29588";"50";"4";"4"
"29595";"101";"4";"4"
"29596";"55";"4";"4"
"29602";"154";"4";"4"
"29605";"56";"1";"1"
"29612";"55";"1";"1"
"29615";"158";"4";"4"
"29616";"55";"1";"1"
"29617";"251";"4";"4"
"29619";"55";"1";"4"
"29621";"48";"1";"4"
"29632";"55";"1";"1"
"29654";"55";"1";"4"
"29655";"163";"4";"4"
"29656";"1470";"4";"4"
"29660";"157";"4";"4"
"29661";"199";"4";"4"
"29666";"157";"4";"4"
"29668";"165";"4";"4"
"29669";"54";"4";"4"
"29677";"55";"4";"4"
"29689";"27";"4";"4"
"29690";"221";"4";"4"
"29692";"55";"1";"4"
"29694";"55";"1";"1"
"29695";"38";"4";"4"
"29697";"44";"4";"4"
"29699";"551";"4";"4"
"29705";"55";"1";"1"
"29707";"52";"1";"4"
"29712";"54";"4";"4"
"29720";"54";"1";"1"
"29723";"106";"4";"4"
"29727";"60";"4";"4"
"29731";"54";"4";"4"
"29736";"187";"4";"4"
"29738";"107";"4";"4"
"29739";"195";"4";"4"
"29741";"46";"4";"4"
"29742";"54";"4";"4"
"29745";"49";"1";"4"
"29747";"98";"4";"4"
"29748";"54";"4";"4"
"29750";"54";"4";"4"
"29751";"46";"4";"4"
"29752";"46";"4";"4"
"29757";"54";"1";"1"
"29759";"54";"1";"1"
"29763";"54";"1";"4"
"29765";"54";"4";"4"
"29771";"54";"1";"4"
"29773";"54";"4";"4"
"29774";"54";"4";"4"
"29778";"53";"4";"4"
"29782";"51";"4";"4"
"29783";"54";"4";"4"
"29784";"283";"4";"4"
"29786";"53";"1";"1"
"29788";"54";"4";"4"
"29790";"99";"1";"1"
"29793";"339";"4";"4"
"29794";"303";"4";"4"
"29800";"54";"1";"4"
"29805";"54";"1";"1"
"29809";"990";"4";"4"
"29811";"54";"1";"4"
"29812";"54";"4";"4"
"29823";"54";"4";"4"
