"period";"profile_1";"avgDegree";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgPagerank";"avgEigenvector";"avgInteractions"
"1";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"2";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"3";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"4";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"5";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"6";"1";"1,6923";"1,0769";"0,6154";"10,918697968697968";"0,004820531530478506";"0,0721793601530167";"2,3077"
"6";"4";"6,6494";"3,2857";"3,3636";"114,31242761567434";"0,008210967310417512";"0,18105322151297842";"9,1169"
"7";"1";"1,8387";"0,9032";"0,9355";"6,235411857525609";"0,002055329765109713";"0,03260718040592644";"2,2581"
"7";"4";"9,8618";"4,9350";"4,9268";"223,0219693692416";"0,005023175540699716";"0,15951328799653505";"15,5122"
"8";"1";"1,7500";"0,9375";"0,8125";"8,21521018169266";"0,0014705833525232176";"0,024766197962033307";"2,0833"
"8";"4";"11,1429";"5,5528";"5,5901";"312,7681360948992";"0,004182164212306764";"0,15719894246630503";"18,2236"
"9";"1";"1,7333";"0,8500";"0,8833";"7,769333635770597";"0,0011243831455530282";"0,01786250861539482";"2,0500"
"9";"4";"11,4314";"5,7206";"5,7108";"408,6266665777146";"0,003301437737694942";"0,11396526128358925";"19,3676"
"10";"1";"1,9512";"0,8780";"1,0732";"10,94392085687356";"0,0008536448366571446";"0,015556804060102744";"2,2073"
"10";"4";"12,0080";"6,0361";"5,9719";"539,8738895170131";"0,0025965887818206117";"0,09574941650222474";"20,5502"
"11";"1";"2,1650";"0,8932";"1,2718";"11,033015759260362";"0,0007145607093052653";"0,01304982225716276";"2,5534"
"11";"4";"12,6890";"6,4134";"6,2756";"630,6452274798451";"0,0023192965972916434";"0,08709056656347985";"21,9753"
"12";"1";"2,4745";"0,9489";"1,5255";"14,42251701687413";"0,0006153271722846699";"0,012256326983395929";"2,9635"
"12";"4";"13,0743";"6,6594";"6,4149";"801,2170748256601";"0,001997925821663595";"0,08155387247965444";"22,9412"
"13";"1";"2,5638";"0,9463";"1,6174";"12,389864741814089";"0,0005691911167504057";"0,012296239571715464";"3,0940"
"13";"4";"13,1067";"6,6938";"6,4129";"840,2525566108701";"0,0018360417176454516";"0,07904727867698026";"23,3624"
"14";"1";"2,7365";"0,9341";"1,8024";"11,978890981524222";"0,0005145896909257147";"0,011219457445917675";"3,3114"
"14";"4";"13,4062";"6,8895";"6,5167";"931,9190879333826";"0,001686346055942662";"0,0737271727769549";"24,0900"
"15";"1";"2,8990";"0,9444";"1,9545";"12,565556411056152";"0,0004505963212348517";"0,009763476977029771";"3,5707"
"15";"4";"13,7799";"7,1241";"6,6557";"1067,1077747789482";"0,0015249511036053514";"0,06687089640017083";"24,7892"
"16";"1";"2,8908";"0,9476";"1,9432";"16,636352023644037";"0,00040756173510261243";"0,009340512604339064";"3,5459"
"16";"4";"14,0875";"7,2932";"6,7943";"1194,4907557693348";"0,0014012806127524432";"0,06555781222271806";"25,3742"
"17";"1";"2,8775";"0,9605";"1,9170";"19,220751769306517";"0,0003803727884842769";"0,008967375885282174";"3,5889"
"17";"4";"14,3264";"7,4132";"6,9132";"1310,2957640544746";"0,0013217526324279447";"0,06403427034047394";"25,9174"
"18";"1";"2,8652";"0,9823";"1,8830";"21,914782779524064";"0,00036331385768014553";"0,008784493274443882";"3,5851"
"18";"4";"14,5657";"7,5359";"7,0299";"1429,547871028236";"0,0012658237290630676";"0,06267573060528214";"26,4163"
"19";"1";"2,8338";"0,9477";"1,8862";"25,75831528622187";"0,0003381207259218999";"0,008009791775941494";"3,4738"
"19";"4";"14,4410";"7,5018";"6,9391";"1610,268537881877";"0,0011382151244619585";"0,0602239165852739";"26,0018"
"20";"1";"2,8653";"0,9275";"1,9378";"29,953593204794107";"0,0003047273364448954";"0,007115330312616517";"3,5466"
"20";"4";"14,8491";"7,7667";"7,0825";"1849,1928298648238";"0,001073917666293497";"0,05737992120292932";"26,7772"
"21";"1";"2,9209";"0,9233";"1,9976";"30,366163601862617";"0,0002833579093681971";"0,006965892609385565";"3,6211"
"21";"4";"15,0017";"7,8799";"7,1218";"1974,2475630761835";"0,0010343112150427716";"0,05541358276221398";"26,9543"
"22";"1";"2,9443";"0,9265";"2,0178";"27,55460678830947";"0,0002679489592591427";"0,006748100685822741";"3,6503"
"22";"4";"15,3366";"8,0667";"7,2699";"2096,595091954549";"0,0009861755720434785";"0,0538510448490293";"27,5724"
"23";"1";"2,9183";"0,9104";"2,0080";"35,781865673597885";"0,00025492618883474097";"0,006228657228416224";"3,6275"
"23";"4";"15,4853";"8,1685";"7,3168";"2326,475275783387";"0,0009346470347293035";"0,05130091458463317";"27,8594"
"24";"1";"2,9836";"0,9255";"2,0582";"39,6065680483881";"0,00023922228050364652";"0,006313952395825934";"3,7273"
"24";"4";"15,7213";"8,3249";"7,3964";"2517,373155847074";"0,0008899214451342212";"0,050761932595693865";"28,3398"
"25";"1";"2,9726";"0,9387";"2,0339";"58,21726302184902";"0,00022317996309679359";"0,00624155747147311";"3,7613"
"25";"4";"15,9585";"8,4649";"7,4936";"2837,8373346587314";"0,0008441328373682051";"0,049742619195226996";"28,8555"
"26";"1";"2,9673";"0,9316";"2,0357";"62,95995020085499";"0,00020821293822939182";"0,005923559679822679";"3,7281"
"26";"4";"16,2327";"8,6218";"7,6109";"3098,6815694079232";"0,0007973860203306252";"0,04779333377335267";"29,4299"
"27";"1";"3,0149";"0,9337";"2,0812";"63,98174114928876";"0,0001969260253711663";"0,0057525416772075165";"3,7997"
"27";"4";"16,5354";"8,8241";"7,7113";"3421,274925578315";"0,0007646639341463039";"0,04683494891943085";"30,1837"
"28";"1";"3,0756";"0,9496";"2,1259";"69,0408968354209";"0,00018846604426608793";"0,005718231034885658";"3,8841"
"28";"4";"16,8637";"9,0268";"7,8369";"3660,581564219966";"0,0007409311685760124";"0,04591793634312847";"31,1694"
"29";"1";"3,0566";"0,9376";"2,1191";"67,62319183861088";"0,00017706308973345272";"0,005542902850194159";"3,8647"
"29";"4";"17,1224";"9,1928";"7,9295";"3939,2582683060587";"0,0007154326631418845";"0,04521160738581805";"32,0803"
"30";"1";"3,0778";"0,9449";"2,1328";"74,45474465923358";"0,00016895021293595797";"0,005404128412134044";"3,9104"
"30";"4";"17,4427";"9,3848";"8,0579";"4216,978174240708";"0,0006963430634384398";"0,044854382161911156";"33,0410"
