"period";"profile_1";"avgDegree";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgPagerank";"avgEigenvector";"avgInteractions"
"27";"4";"13,7559";"7,7405";"6,0154";"4649,437020944647";"0,0005888001644578846";"0,03707139598067576";"24,5324"
"28";"1";"2,9618";"0,7334";"2,2284";"94,22696745003537";"0,00012974918222840063";"0,005355118760473393";"3,6960"
"28";"4";"14,0394";"7,9073";"6,1321";"4998,662456795021";"0,0005685157008264806";"0,03624372063447642";"25,8422"
"29";"1";"2,9435";"0,7321";"2,2115";"96,12956585096856";"0,00012241506025805512";"0,0051478538187372976";"3,6748"
"29";"4";"14,4197";"8,1096";"6,3101";"5390,259302446826";"0,0005406392964397611";"0,03533562901116537";"27,4280"
"30";"1";"2,9950";"0,7392";"2,2557";"106,49075544483922";"0,00011509865426885052";"0,00533800945831268";"3,7277"
"30";"4";"14,6919";"8,2646";"6,4273";"5739,615203151245";"0,0005092457791076807";"0,03616799942850369";"28,7337"
"31";"1";"3,0039";"0,7388";"2,2651";"107,85869152188404";"0,00010665019766686914";"0,005153162922968491";"3,7586"
"31";"4";"15,2926";"8,6050";"6,6876";"6349,890734617143";"0,000484006936963779";"0,03642476752481683";"30,2455"
"32";"1";"2,9646";"0,7269";"2,2377";"110,33389682309995";"0,00009958991556379948";"0,004815446331638893";"3,6927"
"32";"4";"15,6755";"8,8462";"6,8293";"6936,654429401211";"0,00046503211033578986";"0,03587425854604985";"31,5256"
"33";"1";"2,9701";"0,7362";"2,2340";"115,42533521163197";"0,00009376658857563473";"0,0045937162169249375";"3,6897"
"33";"4";"16,0245";"9,0482";"6,9763";"7678,681709209932";"0,00044708388561633827";"0,034557943928306925";"32,3313"
"34";"1";"3,0010";"0,7436";"2,2575";"117,17818277851993";"0,00008810983264341226";"0,004416134594789939";"3,7379"
"34";"4";"16,4314";"9,2964";"7,1350";"8340,805763986047";"0,000426998006583097";"0,03368132021104085";"33,2942"
"35";"1";"3,0133";"0,7575";"2,2559";"126,71276741348147";"0,00008174845697720578";"0,004244702618924569";"3,7474"
"35";"4";"16,8278";"9,5444";"7,2833";"9423,670941951732";"0,00040279429463029606";"0,03266600913737983";"34,0007"
"36";"1";"3,0423";"0,7664";"2,2758";"139,13626329378366";"0,0000763915800342019";"0,004073625869539047";"3,8015"
"36";"4";"17,1991";"9,7763";"7,4228";"10330,851445649769";"0,0003824522403490816";"0,03175457826219266";"34,8316"
"37";"1";"3,0488";"0,7606";"2,2882";"151,90696489064828";"0,00007264264241050343";"0,003930124234930384";"3,8341"
"37";"4";"17,5433";"9,9873";"7,5560";"10992,568558424678";"0,0003808739564299882";"0,03124560682102051";"35,6037"
"38";"1";"3,0680";"0,7680";"2,3000";"174,01563466387492";"0,00006821159683015928";"0,003747264941699467";"3,8840"
"38";"4";"18,0589";"10,2892";"7,7697";"11907,086073490214";"0,00036450819372047037";"0,03056007502267078";"36,5930"
"39";"1";"3,0980";"0,7774";"2,3205";"189,5202369138464";"0,00006419139924079793";"0,0036162506750069675";"3,9453"
"39";"4";"18,6084";"10,6031";"8,0052";"12790,856664076871";"0,0003442081055664941";"0,03015955099725954";"37,7156"
"40";"1";"3,1327";"0,7844";"2,3483";"201,8849611931191";"0,0000612897381458903";"0,0034370194719051676";"4,0017"
"40";"4";"19,0000";"10,8389";"8,1611";"13499,612466108536";"0,0003346162216461889";"0,029300858803400935";"38,4505"
"41";"1";"3,1245";"0,7884";"2,3361";"207,40369821401472";"0,000058673610763344135";"0,0033045500537473575";"3,9872"
"41";"4";"19,2965";"11,0099";"8,2867";"14341,895964262654";"0,0003233444384625692";"0,02880857641060469";"38,9714"
"42";"1";"3,1548";"0,7944";"2,3605";"224,78546225727766";"0,00005503124987590756";"0,003106625951888254";"4,0473"
"42";"4";"19,5727";"11,2012";"8,3715";"15283,025098978884";"0,00030629849146853675";"0,027750813767397457";"39,3201"
"43";"1";"3,1937";"0,7960";"2,3977";"241,95022497251202";"0,00005230498038514825";"0,0029929903619276567";"4,1364"
"43";"4";"20,0807";"11,5584";"8,5222";"16610,836853800818";"0,0003012505218162587";"0,027604529285569068";"40,0848"
"44";"1";"3,2495";"0,8059";"2,4436";"273,0070077063664";"0,00004964682870520156";"0,002826167099926622";"4,2723"
"44";"4";"20,5268";"11,8838";"8,6430";"17962,60956712291";"0,00029446609786957796";"0,02693097926173204";"41,0896"
"45";"1";"3,2848";"0,8120";"2,4728";"297,2897192952739";"0,000047409261319414065";"0,0027290519047970447";"4,3368"
"45";"4";"20,9951";"12,2073";"8,7878";"19340,230597600294";"0,00028541985616297003";"0,026501957314427126";"42,0658"
"46";"1";"3,3081";"0,8167";"2,4913";"308,7663487762567";"0,000045589315981445124";"0,0026444232921951248";"4,3846"
"46";"4";"21,4104";"12,4724";"8,9380";"20513,036615172845";"0,00027716573607085017";"0,02594258201006325";"43,0557"
"47";"1";"3,3318";"0,8174";"2,5144";"314,71664164938767";"0,000043227571016803724";"0,002533045024407269";"4,4196"
