"period";"modularity_class";"outstanding";"ordinary"
"69";"34";"47";"132"
"69";"35";"0";"2"
"69";"36";"0";"2"
"69";"37";"0";"2"
"70";"0";"316";"857"
"70";"1";"0";"1"
"70";"2";"0";"2"
"70";"3";"0";"1"
"70";"4";"0";"2"
"70";"5";"0";"2"
"70";"6";"0";"1"
"70";"7";"0";"1"
"70";"8";"1";"3"
"70";"9";"1";"1"
"70";"10";"0";"2"
"70";"11";"0";"2"
"70";"12";"1";"1"
"70";"13";"1";"0"
"70";"14";"0";"1"
"70";"15";"0";"2"
"70";"16";"403";"1662"
"70";"17";"0";"1"
"70";"18";"638";"1140"
"70";"19";"0";"2"
"70";"20";"0";"1"
"70";"21";"0";"2"
"70";"22";"57";"263"
"70";"23";"112";"330"
"70";"24";"177";"593"
"70";"25";"0";"1"
"70";"26";"0";"2"
"70";"27";"0";"2"
"70";"28";"0";"2"
"70";"29";"69";"167"
"70";"30";"0";"1"
"70";"31";"1";"0"
"70";"32";"22";"37"
"70";"33";"272";"848"
"70";"34";"99";"404"
"70";"35";"1";"0"
"70";"36";"0";"2"
"70";"37";"0";"2"
"70";"38";"0";"2"
"71";"0";"0";"2"
"71";"1";"0";"2"
"71";"2";"266";"976"
"71";"3";"0";"2"
"71";"4";"0";"1"
"71";"5";"0";"1"
"71";"6";"0";"1"
"71";"7";"0";"2"
"71";"8";"0";"1"
"71";"9";"0";"1"
"71";"10";"1";"1"
"71";"11";"0";"2"
"71";"12";"0";"2"
"71";"13";"1";"1"
"71";"14";"1";"0"
"71";"15";"0";"1"
"71";"16";"0";"2"
"71";"17";"0";"1"
"71";"18";"111";"596"
"71";"19";"0";"2"
"71";"20";"79";"264"
"71";"21";"0";"1"
"71";"22";"0";"2"
"71";"23";"151";"560"
"71";"24";"15";"60"
"71";"25";"687";"1003"
"71";"26";"493";"1751"
"71";"27";"0";"1"
"71";"28";"135";"420"
"71";"29";"0";"2"
"71";"30";"0";"1"
"71";"31";"1";"0"
"71";"32";"250";"910"
"71";"33";"1";"0"
"71";"34";"0";"2"
"71";"35";"0";"2"
"71";"36";"0";"2"
"71";"37";"0";"2"
"72";"0";"0";"2"
"72";"1";"91";"251"
"72";"2";"0";"1"
"72";"3";"315";"933"
"72";"4";"0";"1"
"72";"5";"304";"1066"
"72";"6";"0";"1"
"72";"7";"0";"2"
"72";"8";"0";"1"
"72";"9";"0";"2"
"72";"10";"0";"2"
"72";"11";"0";"1"
"72";"12";"0";"1"
"72";"13";"1";"1"
"72";"14";"0";"2"
"72";"15";"0";"2"
"72";"16";"0";"1"
"72";"17";"1";"1"
"72";"18";"1";"0"
"72";"19";"0";"1"
"72";"20";"0";"2"
"72";"21";"440";"1751"
"72";"22";"0";"1"
"72";"23";"0";"2"
"72";"24";"0";"1"
"72";"25";"0";"2"
"72";"26";"753";"1547"
"72";"27";"0";"1"
"72";"28";"0";"2"
"72";"29";"0";"1"
"72";"30";"1";"0"
"72";"31";"173";"608"
"72";"32";"1";"0"
"72";"33";"0";"2"
"72";"34";"122";"536"
"72";"35";"0";"2"
"72";"36";"0";"2"
"72";"37";"0";"2"
