"period";"modularity_class";"avgIndegree";"avgOutdegree";"avgDegree";"avgBetweenness";"avgPageRank";"avgEigenvector"
"11";"8";"5,7727";"5,8030";"11,5758";"632,6620029848967";"0,002168536644690882";"0,09114508114833533"
"11";"9";"4,8000";"4,8333";"9,6333";"470,35246705068045";"0,0017012074526360987";"0,06024909792299752"
"11";"10";"5,5455";"4,9091";"10,4545";"665,1824680919937";"0,0024270815786725693";"0,08534183645225737"
"12";"0";"1,0000";"1,0000";"2,0000";"0";"0,0004195944411556766";"0,0007238229578858862"
"12";"1";"4,9032";"5,0645";"9,9677";"747,7106974001965";"0,0017678299464359301";"0,07162868651433872"
"12";"2";"6,2727";"5,0909";"11,3636";"718,3251156625506";"0,001875669992579997";"0,0725959441807795"
"12";"3";"5,7200";"5,9600";"11,6800";"581,8933653709374";"0,0017110675777013734";"0,08259820030239277"
"12";"4";"3,3617";"4,2979";"7,6596";"319,13059795589555";"0,0012337172410688407";"0,039683251861119886"
"12";"5";"4,2162";"4,8378";"9,0541";"474,7037470769091";"0,0013629901548379572";"0,0456988385547209"
"12";"6";"6,1538";"5,8974";"12,0513";"875,0312075765165";"0,0017080510592434196";"0,07702058266674346"
"12";"7";"4,1892";"4,1892";"8,3784";"393,2962183645366";"0,0013605674411140108";"0,043102442222921346"
"12";"8";"4,4194";"5,2581";"9,6774";"574,9512780098071";"0,0014920612362620226";"0,0534480388646008"
"12";"9";"4,0000";"4,5714";"8,5714";"536,0003592922526";"0,0014580417744594466";"0,04880125279263298"
"12";"10";"6,1200";"4,2200";"10,3400";"584,9183136486108";"0,0020693885022445226";"0,07523361495708217"
"12";"11";"5,1923";"5,5769";"10,7692";"513,6748005588701";"0,0013798509162950604";"0,05807256088389182"
"12";"12";"3,0000";"4,8571";"7,8571";"343,507116023015";"0,0009631983760309315";"0,03888896103655728"
"13";"0";"1,0000";"1,0000";"2,0000";"0";"0,0003831818636506416";"0,0006792330619816344"
"13";"1";"4,5303";"4,6515";"9,1818";"472,93291522973686";"0,0012038547398907627";"0,0457746201547238"
"13";"2";"5,9859";"5,0845";"11,0704";"720,9000680276815";"0,0017379634440687968";"0,06858521705025207"
"13";"3";"3,5610";"4,4634";"8,0244";"393,70126494848773";"0,0011861147107616703";"0,030998651728264145"
"13";"4";"3,9524";"3,9524";"7,9048";"240,01323876309502";"0,0012473478751755189";"0,048104452692616165"
"13";"5";"5,1373";"5,5490";"10,6863";"658,1824175912244";"0,0014258781439775475";"0,06656893048123119"
"13";"6";"5,6393";"5,3934";"11,0328";"690,9819039467803";"0,0016608202634760436";"0,07765726962716567"
"13";"7";"3,4412";"3,9706";"7,4118";"395,79967808478574";"0,0012175369771327636";"0,041331196895420357"
"13";"8";"5,4032";"4,5645";"9,9677";"541,7967489214235";"0,001667655582797194";"0,06461650860517326"
"13";"9";"5,8846";"7,1154";"13,0000";"694,9277608237691";"0,0015837732191569937";"0,07539065950188914"
"13";"10";"5,0222";"5,0889";"10,1111";"835,4861248523276";"0,001364008508483675";"0,061181922367713276"
"13";"11";"5,1154";"5,5769";"10,6923";"729,4503293180439";"0,0015001195685258445";"0,05936697386861696"
"14";"0";"5,1282";"5,7179";"10,8462";"525,5862311160223";"0,001186585052274683";"0,05339901644216448"
"14";"1";"4,6250";"5,2500";"9,8750";"291,5431360378828";"0,0013563765676573565";"0,057308937775650354"
"14";"2";"5,9610";"6,1299";"12,0909";"783,8916838145032";"0,00149518526851213";"0,07451265265112367"
"14";"3";"5,3333";"4,1481";"9,4815";"610,0323038372125";"0,0014476857878261348";"0,05458573442744479"
"14";"4";"4,7571";"5,4429";"10,2000";"651,6459179018028";"0,0012501957499595733";"0,05183135286660749"
"14";"5";"5,1566";"4,9880";"10,1446";"718,0187961029358";"0,001394899698773567";"0,055549109529141584"
"14";"6";"4,3585";"4,3396";"8,6981";"486,35618771321833";"0,0012377969250597226";"0,043147241370515274"
