"questionId";"finished";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgEigenvector";"avgPagerank"
"27606";"0";"16";"8";"3130,9646157189736";"0,06385244340102099";"0,0002895911139063143"
"27614";"1";"117";"31";"164796,05971929635";"0,13851892804522162";"0,001309876674022573"
"27616";"0";"1113";"441";"5651885,097137182";"0,7804414291160321";"0,012125663404824606"
"27618";"1";"19";"11";"6154,404944863286";"0,06787252148766292";"0,00041788412541497895"
"27619";"1";"794";"149";"2203852,7163571967";"0,6525712855643044";"0,009222594933199484"
"27622";"1";"200";"39";"218767,08043172755";"0,22885269753211623";"0,002173318563253131"
"27629";"0";"23";"9";"18272,44557793739";"0,02404292203608677";"0,00025204059746914857"
"27630";"1";"51";"25";"67237,58795007758";"0,0741871667372797";"0,0006135913938272076"
"27631";"0";"1062";"339";"4618724,204212591";"0,7308375698771538";"0,012433520342351423"
"27636";"1";"1168";"366";"4761203,383814274";"0,8674399685437306";"0,013587688720466356"
"27638";"0";"52";"26";"67287,48912553192";"0,07439546061906642";"0,0006448249661953055"
"27639";"0";"1113";"441";"5651885,097137182";"0,7804414291160321";"0,012125663404824606"
"27641";"0";"12";"2";"10548,774619883074";"0,019386429337594383";"0,00029336112718675203"
"27642";"0";"19";"17";"16659,66380974951";"0,03590482865111164";"0,0003197553055733491"
"27645";"1";"128";"41";"254011,21500273762";"0,16567351510129483";"0,0015012882578391957"
"27648";"0";"291";"106";"509472,7779379124";"0,3952870556188203";"0,003359307890926593"
"27650";"1";"3";"1";"7565,969713008519";"0,0013093455412931643";"0,00003925574673553737"
"27653";"0";"88";"47";"163595,70530571538";"0,10084712314696458";"0,0009095269685465853"
"27654";"0";"2";"3";"31,48440527193059";"0,0022267705754712083";"0,00004008231226024087"
"27658";"0";"1723";"339";"5497758,276632598";"1,2477533328697528";"0,019467454372444022"
"27660";"1";"2";"1";"34,52229361671271";"0,004027333959989194";"0,00005449892420334094"
"27663";"0";"1904";"565";"7044617,656493656";"1,5595551292729157";"0,021436240636829623"
"27665";"0";"233";"63";"448971,6162943383";"0,31847495293428374";"0,0031445499434746378"
"27666";"0";"258";"143";"587231,6370210989";"0,36384607529981167";"0,0031722130882327103"
"27669";"1";"537";"238";"987187,5915738603";"0,7665214738815598";"0,006337683495944437"
"27675";"1";"107";"36";"142485,74996253068";"0,13783883034866393";"0,0011815774195208762"
"27676";"1";"200";"39";"218767,08043172755";"0,22885269753211623";"0,002173318563253131"
"27678";"1";"48";"59";"150573,3592307129";"0,0857209676991804";"0,0006278772019577699"
"27681";"0";"1";"0";"0";"0,00028024706913114695";"0,00002596026579930893"
"27686";"1";"117";"31";"164796,05971929635";"0,13851892804522162";"0,001309876674022573"
"27687";"1";"49";"41";"102370,53186171188";"0,09608907452603523";"0,0006887734641696449"
"27688";"1";"8";"4";"14346,528644689783";"0,003884420400108561";"0,0001370082094325511"
"27691";"0";"1";"4";"0";"0,00021615333013942775";"0,00002191810650893231"
"27693";"1";"328";"107";"762005,1064287842";"0,3765850412913389";"0,003767219037219436"
"27694";"1";"1113";"441";"5651885,097137182";"0,7804414291160321";"0,012125663404824606"
"27695";"1";"1113";"441";"5651885,097137182";"0,7804414291160321";"0,012125663404824606"
"27702";"0";"105";"34";"134533,8375886301";"0,19436121981699822";"0,001424795333785244"
"27703";"0";"200";"39";"218767,08043172755";"0,22885269753211623";"0,002173318563253131"
"27706";"1";"105";"34";"134533,8375886301";"0,19436121981699822";"0,001424795333785244"
"27709";"0";"328";"107";"762005,1064287842";"0,3765850412913389";"0,003767219037219436"
"27711";"0";"200";"39";"218767,08043172755";"0,22885269753211623";"0,002173318563253131"
"27714";"1";"1318";"453";"5758236,129990373";"1,0600213055259387";"0,014571261625865728"
"27715";"1";"153";"93";"285107,196819343";"0,28008218751617864";"0,002052672535743014"
"27716";"1";"204";"65";"433024,79172066366";"0,21099725505975664";"0,0022401990223521687"
"27722";"1";"1113";"441";"5651885,097137182";"0,7804414291160321";"0,012125663404824606"
"27723";"1";"213";"45";"243041,41441559524";"0,25377951631234313";"0,0023356875464066273"
"27724";"1";"421";"77";"841232,9827877381";"0,44558393177579636";"0,004881945868176363"
"27726";"1";"2";"1";"97,78977554640065";"0,016121749716233508";"0,00004795458338297891"
"27727";"1";"150";"67";"423182,7855527769";"0,1781739694918907";"0,00174697195549201"
"27728";"0";"7";"7";"1032,1455718239458";"0,004616594609438241";"0,00006991514691970673"
"27731";"0";"351";"98";"971718,2463781573";"0,3551616706711132";"0,0038860181281556985"
"27733";"1";"107";"36";"142485,74996253068";"0,13783883034866393";"0,0011815774195208762"
"27736";"0";"107";"36";"142485,74996253068";"0,13783883034866393";"0,0011815774195208762"
"27737";"0";"37";"16";"43490,3920539377";"0,06387821893134026";"0,0004959661248828378"
"27739";"1";"1596";"423";"5674635,883453806";"1,2785304907972548";"0,018780783723842873"
"27743";"1";"328";"107";"762005,1064287842";"0,3765850412913389";"0,003767219037219436"
"27744";"0";"1039";"286";"3876331,335858277";"0,7333272472492985";"0,012146854366351557"
"27748";"1";"107";"36";"142485,74996253068";"0,13783883034866393";"0,0011815774195208762"
"27751";"1";"48";"59";"150573,3592307129";"0,0857209676991804";"0,0006278772019577699"
"27753";"1";"107";"36";"142485,74996253068";"0,13783883034866393";"0,0011815774195208762"
"27755";"1";"64";"43";"165120,35736405736";"0,08244007558974861";"0,0007817224218576551"
"27756";"1";"354";"78";"737667,7993494897";"0,36992110011632107";"0,004480359391850889"
"27758";"1";"922";"190";"2457863,931359934";"0,8182448006655992";"0,01072388319103868"
"27761";"1";"794";"149";"2203852,7163571967";"0,6525712855643044";"0,009222594933199484"
"27763";"0";"420";"121";"1102595,5686192608";"0,4180851755454699";"0,004864858724824583"
"27764";"1";"589";"125";"1369702,401425854";"0,5789221729971081";"0,006686946246733434"
"27766";"1";"2595";"607";"9720476,97099807";"1,7296011381950667";"0,029679659101255543"
"27769";"0";"376";"166";"912578,4656594971";"0,4623060089905193";"0,004395096239177206"
"27776";"1";"189";"62";"395998,93948627135";"0,2477533328697527";"0,002193906572133962"
"27779";"0";"120";"65";"270976,22611155716";"0,20847483666664626";"0,0018594309271126417"
"27780";"1";"107";"36";"142485,74996253068";"0,13783883034866393";"0,0011815774195208762"
"27783";"0";"200";"39";"218767,08043172755";"0,22885269753211623";"0,002173318563253131"
"27785";"0";"205";"48";"220551,72449728622";"0,22992560473446066";"0,0022530460815686766"
"27786";"1";"355";"79";"737667,7993494897";"0,37115753179840816";"0,004507768433256834"
"27789";"1";"115";"54";"302520,8035563028";"0,09038621854716526";"0,0012586731632941456"
"27792";"0";"6";"2";"1195,5258825059934";"0,004372297257116189";"0,00007052366496569492"
"27795";"1";"2";"0";"0";"0,0016834371552032293";"0,00003878426892589069"
"27796";"0";"1061";"330";"4618717,633851743";"0,7296011381950667";"0,01240611130094548"
"27798";"1";"48";"29";"46267,883333345264";"0,041341654000511006";"0,00045419445941507634"
