"id";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"strongly_component";"weakly_component";"interactions";"id_graph_analysis_context";"id_user";"id_community";"profile_1";"profile_2"
"235185";"0";"0,2567098374207771";"7";"0,2664852072215779";"0,00002191810650893231";"0";"2";"2";"0";"5";"0";"3799";"0";"2";"72";"44875";"9";"1";"1"
"235189";"0";"0";"0";"0";"0,000026540638182311226";"1";"0";"1";"0,00028564453399706417";"21";"0";"757";"0";"1";"72";"44878";"9";"1";"1"
"235195";"2958,283236269251";"0,318449124726477";"6";"0,3370624865793338";"0,00012021114694172094";"12";"15";"27";"0,00708074118732078";"5";"0,11999999731779099";"1057";"0";"44";"72";"44887";"9";"4";"4"
"235197";"0";"0,301677787134806";"7";"0,31699438633086324";"0,000045293021708931604";"1";"1";"2";"0,01590559638609409";"5";"0";"1057";"0";"3";"72";"44890";"9";"1";"1"
"235202";"0";"0,28320466840921527";"7";"0,2962985108187927";"0,00002191810650893231";"0";"3";"3";"0";"21";"0,3333333432674408";"3800";"0";"3";"72";"44896";"9";"1";"1"
"235204";"0";"0,24704322460885705";"7";"0,25683412050952387";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3802";"0";"1";"72";"44898";"9";"1";"1"
"235206";"0";"0,2663845362003889";"7";"0,2779156188022677";"0,00002191810650893231";"0";"4";"4";"0";"34";"0,1666666716337204";"3803";"0";"4";"72";"44899";"9";"4";"4"
"235208";"0";"0,24704322460885705";"7";"0,25683412050952387";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3804";"0";"1";"72";"44900";"9";"1";"1"
"235210";"0";"0,2811952912767884";"7";"0,2925443169968699";"0,00002191810650893231";"0";"2";"2";"0";"5";"0";"3805";"0";"2";"72";"44901";"9";"1";"1"
"235211";"12024,022320207747";"0,30242223521007855";"6";"0,3188175506406075";"0,00006733964741484324";"2";"8";"10";"0,015155347075519429";"31";"0,25555557012557983";"1057";"0";"14";"72";"44903";"9";"1";"1"
"235214";"0";"0,24958465083873735";"7";"0,2586919844167052";"0,00005802398311634801";"1";"1";"2";"0,0038132241036670975";"21";"0";"1057";"0";"2";"72";"44908";"9";"1";"4"
"235216";"0";"0";"0";"0";"0,000023082539741328007";"1";"0";"1";"0,00021615333013942775";"26";"0";"2505";"0";"1";"72";"44910";"9";"1";"1"
"235217";"34,533351322198264";"0,28064360612269496";"7";"0,292854075278381";"0,00009213381421138643";"3";"4";"7";"0,002202675399752278";"21";"0,44999998807907104";"1057";"0";"8";"72";"44911";"9";"4";"4"
"235218";"0";"0,30223202699195434";"7";"0,3178816782187267";"0,00002191810650893231";"0";"3";"3";"0";"5";"0,5";"3806";"0";"4";"72";"44913";"9";"1";"1"
"235221";"46,10017956929658";"0,30354582192673707";"7";"0,3189412763172632";"0,000045293021708931604";"2";"3";"5";"0,01636028213866057";"5";"0,4166666567325592";"1057";"0";"7";"72";"44917";"9";"1";"1"
"235227";"0";"0";"0";"0";"0,00002319954865398194";"1";"0";"1";"0,0003378790587596578";"26";"0";"821";"0";"1";"72";"44925";"9";"1";"1"
"235230";"13,999034968397412";"0,2891289501458993";"7";"0,30189013977933526";"0,00002804338062448633";"1";"2";"3";"0,0004241135552409899";"21";"0,3333333432674408";"1057";"0";"3";"72";"44928";"9";"1";"1"
"235233";"0";"0,2633572680499802";"7";"0,2739117544828176";"0,00002191810650893231";"1";"3";"4";"0,00021615333013942775";"21";"0,3333333432674408";"3811";"0";"4";"72";"44931";"9";"1";"1"
"235238";"502,5244335331143";"0,30279583875162547";"6";"0,3181160976308008";"0,00003567859482361016";"2";"2";"4";"0,0008538717599782371";"5";"0,3333333432674408";"1057";"0";"8";"72";"44936";"9";"1";"4"
