"totalPost";"userId";"profile_1";"profile_2"
"1";"53535";"1";"1"
"1";"53573";"1";"1"
"2";"53578";"4";"4"
"9";"53584";"4";"4"
"2";"53610";"4";"4"
"1";"53614";"1";"1"
"1";"53624";"1";"4"
"1";"53626";"4";"4"
"53";"53643";"4";"4"
"9";"53653";"4";"4"
"1";"53663";"1";"1"
"2";"53706";"4";"4"
"1";"53709";"4";"4"
"1";"53720";"1";"1"
"1";"53754";"4";"4"
"1";"53757";"4";"4"
"1";"53771";"4";"4"
"1";"53779";"1";"1"
"2";"53786";"4";"4"
"2";"53803";"4";"4"
"1";"53810";"4";"4"
"1";"53820";"1";"1"
"2";"53829";"4";"4"
"1";"53830";"4";"4"
"2";"53855";"4";"4"
"2";"53864";"4";"4"
"2";"53882";"1";"1"
"6";"53888";"4";"4"
"1";"53900";"1";"1"
"1";"53927";"1";"1"
"1";"53931";"1";"1"
"1";"53937";"1";"1"
"14";"53948";"4";"4"
"1";"53952";"1";"1"
"5";"53953";"4";"4"
"1";"53966";"1";"1"
"14";"53980";"4";"4"
"1";"53997";"1";"1"
"3";"54000";"4";"4"
"1";"54006";"1";"1"
"1";"54026";"1";"1"
"8";"54029";"4";"4"
"2";"54034";"4";"4"
"3";"54066";"4";"4"
"2";"54072";"4";"4"
"1";"54076";"4";"4"
"4";"54080";"4";"4"
"1";"54081";"1";"1"
"1";"54093";"4";"4"
"1";"54100";"4";"4"
"1";"54134";"1";"1"
"1";"54136";"4";"4"
"3";"54145";"4";"4"
"1";"54157";"1";"1"
"2";"54159";"4";"4"
"1";"54160";"1";"1"
"1";"54176";"1";"1"
"1";"54196";"1";"1"
"1";"54223";"1";"4"
"1";"54225";"1";"1"
"2";"54228";"4";"4"
"2";"54229";"1";"1"
"1";"54232";"4";"4"
"1";"54235";"1";"1"
"1";"54253";"1";"1"
"1";"54255";"4";"4"
"1";"54269";"4";"4"
"1";"54272";"1";"1"
"1";"54317";"4";"4"
"1";"54330";"4";"4"
"1";"54360";"4";"4"
"1";"54373";"1";"1"
"1";"54376";"1";"1"
"1";"54377";"4";"4"
"1";"54378";"1";"1"
"1";"54408";"1";"1"
"1";"54421";"4";"4"
"1";"54424";"1";"1"
"1";"54452";"4";"4"
"2";"54453";"4";"4"
"4";"54477";"4";"4"
"1";"54490";"4";"4"
"1";"54499";"4";"4"
"2";"54501";"4";"4"
"1";"54507";"1";"1"
"3";"54511";"4";"4"
"1";"54517";"1";"4"
"1";"54531";"4";"4"
"1";"54545";"4";"4"
"5";"54552";"4";"4"
"1";"54583";"4";"4"
"1";"54655";"4";"4"
"1";"54662";"1";"1"
"2";"54664";"4";"4"
"1";"54666";"1";"1"
"1";"54685";"4";"4"
"1";"54690";"4";"4"
"3";"54697";"4";"4"
"2";"54699";"4";"4"
"1";"54715";"1";"1"
"112";"54718";"4";"4"
"8";"54738";"4";"4"
"1";"54739";"1";"1"
"12";"54808";"4";"4"
"1";"54811";"4";"4"
"1";"54812";"1";"1"
"1";"54813";"4";"4"
"1";"54829";"1";"1"
"1";"54832";"1";"1"
"1";"54857";"1";"1"
"1";"54865";"4";"4"
"1";"54889";"1";"1"
"1";"54902";"1";"1"
"1";"54916";"4";"4"
"1";"54960";"1";"4"
"5";"54969";"4";"4"
"1";"55024";"4";"4"
"1";"55046";"4";"4"
"1";"55055";"1";"1"
"12";"55082";"4";"4"
"41";"55106";"4";"4"
"2";"55114";"4";"4"
"1";"55139";"4";"4"
"6";"55220";"4";"4"
"1";"55224";"4";"4"
"1";"55227";"1";"1"
"1";"55236";"1";"1"
"1";"55244";"1";"1"
"2";"55254";"1";"4"
"1";"55258";"4";"4"
"1";"55297";"1";"1"
"1";"55304";"1";"1"
"4";"55313";"4";"4"
"1";"55321";"4";"4"
"1";"55337";"1";"1"
"1";"55340";"1";"1"
"1";"55361";"1";"1"
"1";"55385";"1";"1"
"2";"55418";"4";"4"
"1";"55441";"1";"1"
"1";"55450";"1";"1"
"1";"55470";"1";"1"
"2";"55471";"4";"4"
"1";"55487";"1";"1"
"1";"55499";"1";"1"
"1";"55530";"1";"1"
"1";"55532";"1";"1"
"1";"55551";"1";"1"
"1";"55572";"1";"1"
"1";"55638";"4";"4"
"1";"55643";"1";"1"
"2";"55679";"4";"4"
"4";"55704";"4";"4"
"1";"55722";"1";"1"
"1";"55724";"4";"4"
"2";"55727";"4";"4"
"1";"55764";"4";"4"
"3";"55767";"4";"4"
"1";"55825";"1";"1"
"1";"55830";"1";"1"
"1";"55831";"4";"4"
"1";"55845";"1";"1"
"9";"55851";"4";"4"
"1";"55853";"4";"4"
"1";"55868";"1";"1"
"1";"55900";"4";"4"
"1";"55904";"1";"1"
"1";"55929";"1";"1"
"1";"55978";"1";"1"
"1";"55982";"1";"1"
"1";"55987";"1";"1"
"2";"56007";"1";"1"
"8";"56011";"4";"4"
"1";"56037";"1";"1"
"3";"56061";"4";"4"
"1";"56067";"1";"1"
"1";"56068";"4";"4"
"1";"56079";"1";"1"
"2";"56096";"4";"4"
"1";"56099";"4";"4"
"1";"56100";"1";"1"
"3";"56106";"1";"1"
"1";"56109";"1";"1"
"1";"56112";"1";"1"
"1";"56116";"4";"4"
"1";"56119";"4";"4"
"1";"56127";"4";"4"
"17";"56142";"4";"4"
"1";"56149";"4";"4"
"1";"56191";"1";"1"
"1";"56213";"1";"1"
"1";"56226";"1";"1"
"1";"56235";"1";"1"
"1";"56258";"1";"1"
"1";"56274";"1";"1"
"3";"56307";"4";"4"
"6";"56319";"4";"4"
"2";"56328";"4";"4"
"1";"56344";"4";"4"
"1";"56363";"1";"1"
"1";"56372";"4";"4"
"2";"56376";"4";"4"
"2";"56378";"4";"4"
"1";"56383";"1";"1"
"1";"56403";"4";"4"
"1";"56428";"1";"1"
"1";"56443";"1";"1"
"1";"56456";"4";"4"
"1";"56474";"1";"1"
"1";"56490";"4";"4"
"1";"56513";"1";"1"
"1";"56527";"1";"1"
"1";"56530";"4";"4"
"1";"56535";"1";"1"
"1";"56544";"1";"1"
"3";"56547";"4";"4"
"1";"56549";"1";"1"
"1";"56557";"4";"4"
"1";"56615";"4";"4"
"1";"56616";"1";"1"
"1";"56628";"1";"1"
