"profile_2";"period";"myCount";"description"
"1";"6";"7";"answers"
"1";"7";"4";"answers"
"1";"8";"8";"answers"
"1";"9";"2";"answers"
"1";"10";"9";"answers"
"1";"11";"7";"answers"
"1";"12";"7";"answers"
"1";"13";"1";"answers"
"1";"14";"5";"answers"
"1";"15";"10";"answers"
"1";"16";"9";"answers"
"1";"17";"12";"answers"
"1";"18";"8";"answers"
"1";"19";"12";"answers"
"1";"20";"10";"answers"
"1";"21";"9";"answers"
"1";"22";"9";"answers"
"1";"23";"14";"answers"
"1";"24";"8";"answers"
"1";"25";"21";"answers"
"1";"26";"18";"answers"
"1";"27";"16";"answers"
"1";"28";"29";"answers"
"1";"29";"27";"answers"
"1";"30";"17";"answers"
"1";"31";"23";"answers"
"1";"32";"37";"answers"
"1";"33";"21";"answers"
"1";"34";"21";"answers"
"1";"35";"33";"answers"
"1";"36";"19";"answers"
"1";"37";"16";"answers"
"1";"38";"36";"answers"
"1";"39";"34";"answers"
"1";"40";"32";"answers"
"1";"41";"28";"answers"
"1";"42";"23";"answers"
"1";"43";"33";"answers"
"1";"44";"36";"answers"
"1";"45";"28";"answers"
"1";"46";"31";"answers"
"1";"47";"29";"answers"
"1";"48";"32";"answers"
"1";"49";"29";"answers"
"1";"50";"22";"answers"
"1";"51";"42";"answers"
"1";"52";"43";"answers"
"1";"53";"49";"answers"
"1";"54";"40";"answers"
"1";"55";"34";"answers"
"1";"56";"44";"answers"
"1";"57";"43";"answers"
"1";"58";"40";"answers"
"1";"59";"53";"answers"
"1";"60";"41";"answers"
"1";"61";"46";"answers"
"1";"62";"42";"answers"
"1";"63";"52";"answers"
"1";"64";"44";"answers"
"1";"65";"33";"answers"
"1";"66";"43";"answers"
"1";"67";"55";"answers"
"1";"68";"70";"answers"
"1";"69";"43";"answers"
"1";"70";"59";"answers"
"1";"71";"61";"answers"
"1";"72";"43";"answers"
"4";"1";"1";"answers"
"4";"6";"144";"answers"
"4";"7";"208";"answers"
"4";"8";"165";"answers"
"4";"9";"177";"answers"
"4";"10";"166";"answers"
"4";"11";"151";"answers"
"4";"12";"161";"answers"
"4";"13";"121";"answers"
"4";"14";"132";"answers"
"4";"15";"181";"answers"
"4";"16";"155";"answers"
"4";"17";"139";"answers"
"4";"18";"108";"answers"
"4";"19";"147";"answers"
"4";"20";"189";"answers"
"4";"21";"123";"answers"
"4";"22";"158";"answers"
"4";"23";"186";"answers"
"4";"24";"167";"answers"
"4";"25";"171";"answers"
"4";"26";"240";"answers"
"4";"27";"237";"answers"
"4";"28";"210";"answers"
"4";"29";"199";"answers"
"4";"30";"208";"answers"
"4";"31";"180";"answers"
"4";"32";"260";"answers"
"4";"33";"261";"answers"
