"period";"profileUserSource";"profileUserDest";"total"
"2";"1";"4";"10"
"2";"4";"1";"4"
"2";"4";"4";"285"
"3";"1";"1";"3"
"3";"1";"4";"25"
"3";"4";"1";"9"
"3";"4";"4";"453"
"4";"1";"1";"3"
"4";"1";"4";"33"
"4";"4";"1";"9"
"4";"4";"4";"605"
"5";"1";"1";"5"
"5";"1";"4";"58"
"5";"4";"1";"18"
"5";"4";"4";"723"
"6";"1";"1";"6"
"6";"1";"4";"78"
"6";"4";"1";"24"
"6";"4";"4";"883"
"7";"1";"1";"8"
"7";"1";"4";"102"
"7";"4";"1";"30"
"7";"4";"4";"1012"
"8";"1";"1";"10"
"8";"1";"4";"137"
"8";"4";"1";"37"
"8";"4";"4";"1121"
"9";"1";"1";"20"
"9";"1";"4";"191"
"9";"4";"1";"49"
"9";"4";"4";"1245"
"10";"1";"1";"21"
"10";"1";"4";"218"
"10";"4";"1";"58"
"10";"4";"4";"1353"
"11";"1";"1";"25"
"11";"1";"4";"260"
"11";"4";"1";"73"
"11";"4";"4";"1501"
"12";"1";"1";"28"
"12";"1";"4";"319"
"12";"4";"1";"82"
"12";"4";"4";"1664"
"13";"1";"1";"32"
"13";"1";"4";"396"
"13";"4";"1";"92"
"13";"4";"4";"1834"
"14";"1";"1";"41"
"14";"1";"4";"449"
"14";"4";"1";"103"
"14";"4";"4";"2020"
"15";"1";"1";"48"
"15";"1";"4";"511"
"15";"4";"1";"117"
"15";"4";"4";"2219"
"16";"1";"1";"55"
"16";"1";"4";"554"
"16";"4";"1";"121"
"16";"4";"4";"2355"
"17";"1";"1";"60"
"17";"1";"4";"610"
"17";"4";"1";"134"
"17";"4";"4";"2569"
"18";"1";"1";"66"
"18";"1";"4";"656"
"18";"4";"1";"144"
"18";"4";"4";"2776"
"19";"1";"1";"79"
"19";"1";"4";"721"
"19";"4";"1";"159"
"19";"4";"4";"2917"
"20";"1";"1";"88"
"20";"1";"4";"812"
"20";"4";"1";"176"
"20";"4";"4";"3155"
"21";"1";"1";"99"
"21";"1";"4";"901"
"21";"4";"1";"200"
"21";"4";"4";"3419"
"22";"1";"1";"114"
"22";"1";"4";"1017"
"22";"4";"1";"233"
"22";"4";"4";"3695"
"23";"1";"1";"135"
"23";"1";"4";"1217"
"23";"4";"1";"269"
"23";"4";"4";"4013"
"24";"1";"1";"155"
"24";"1";"4";"1375"
"24";"4";"1";"299"
"24";"4";"4";"4439"
"25";"1";"1";"174"
"25";"1";"4";"1554"
"25";"4";"1";"336"
"25";"4";"4";"4929"
"26";"1";"1";"195"
"26";"1";"4";"1736"
"26";"4";"1";"379"
"26";"4";"4";"5371"
"27";"1";"1";"220"
"27";"1";"4";"1934"
"27";"4";"1";"430"
"27";"4";"4";"5761"
"28";"1";"1";"236"
"28";"1";"4";"2074"
"28";"4";"1";"461"
"28";"4";"4";"6130"
"29";"1";"1";"256"
"29";"1";"4";"2252"
"29";"4";"1";"492"
"29";"4";"4";"6693"
"30";"1";"1";"274"
"30";"1";"4";"2455"
"30";"4";"1";"530"
"30";"4";"4";"7266"
"31";"1";"1";"306"
"31";"1";"4";"2701"
"31";"4";"1";"570"
"31";"4";"4";"7958"
"32";"1";"1";"336"
"32";"1";"4";"2939"
"32";"4";"1";"610"
"32";"4";"4";"8366"
"33";"1";"1";"369"
"33";"1";"4";"3196"
"33";"4";"1";"685"
"33";"4";"4";"8907"
"34";"1";"1";"406"
"34";"1";"4";"3480"
"34";"4";"1";"738"
"34";"4";"4";"9494"
"35";"1";"1";"468"
"35";"1";"4";"3890"
"35";"4";"1";"826"
"35";"4";"4";"10206"
"36";"1";"1";"522"
"36";"1";"4";"4228"
"36";"4";"1";"893"
"36";"4";"4";"10836"
"37";"1";"1";"572"
"37";"1";"4";"4560"
"37";"4";"1";"937"
"37";"4";"4";"11534"
"38";"1";"1";"656"
"38";"1";"4";"4962"
"38";"4";"1";"1010"
"38";"4";"4";"12387"
"39";"1";"1";"723"
"39";"1";"4";"5346"
"39";"4";"1";"1089"
"39";"4";"4";"13283"
"40";"1";"1";"777"
"40";"1";"4";"5695"
"40";"4";"1";"1145"
"40";"4";"4";"13933"
"41";"1";"1";"836"
"41";"1";"4";"5994"
"41";"4";"1";"1221"
"41";"4";"4";"14524"
"42";"1";"1";"925"
"42";"1";"4";"6426"
"42";"4";"1";"1291"
"42";"4";"4";"15165"
"43";"1";"1";"1031"
"43";"1";"4";"7027"
"43";"4";"1";"1378"
"43";"4";"4";"15836"
"44";"1";"1";"1171"
"44";"1";"4";"7687"
"44";"4";"1";"1470"
"44";"4";"4";"16589"
"45";"1";"1";"1279"
"45";"1";"4";"8239"
"45";"4";"1";"1564"
"45";"4";"4";"17176"
"46";"1";"1";"1362"
"46";"1";"4";"8675"
"46";"4";"1";"1644"
"46";"4";"4";"17861"
"47";"1";"1";"1485"
"47";"1";"4";"9284"
"47";"4";"1";"1734"
"47";"4";"4";"18518"
"48";"1";"1";"1608"
"48";"1";"4";"9855"
"48";"4";"1";"1839"
"48";"4";"4";"19194"
"49";"1";"1";"1717"
"49";"1";"4";"10441"
"49";"4";"1";"1925"
"49";"4";"4";"19843"
"50";"1";"1";"1832"
"50";"1";"4";"11024"
"50";"4";"1";"2025"
"50";"4";"4";"20555"
"51";"1";"1";"1944"
"51";"1";"4";"11538"
"51";"4";"1";"2134"
"51";"4";"4";"21051"
"52";"1";"1";"2035"
"52";"1";"4";"11983"
"52";"4";"1";"2215"
"52";"4";"4";"21654"
"53";"1";"1";"2120"
"53";"1";"4";"12446"
"53";"4";"1";"2316"
"53";"4";"4";"22338"
"54";"1";"1";"2274"
"54";"1";"4";"13127"
"54";"4";"1";"2414"
"54";"4";"4";"23036"
"55";"1";"1";"2396"
"55";"1";"4";"13890"
"55";"4";"1";"2552"
"55";"4";"4";"23729"
"56";"1";"1";"2515"
"56";"1";"4";"14469"
"56";"4";"1";"2684"
"56";"4";"4";"24338"
"57";"1";"1";"2631"
"57";"1";"4";"15078"
"57";"4";"1";"2805"
"57";"4";"4";"25036"
"58";"1";"1";"2764"
"58";"1";"4";"15720"
"58";"4";"1";"2943"
"58";"4";"4";"25783"
"59";"1";"1";"2951"
"59";"1";"4";"16674"
"59";"4";"1";"3109"
"59";"4";"4";"26606"
"60";"1";"1";"3086"
"60";"1";"4";"17534"
"60";"4";"1";"3254"
"60";"4";"4";"27292"
"61";"1";"1";"3233"
"61";"1";"4";"18310"
"61";"4";"1";"3393"
"61";"4";"4";"28063"
"62";"1";"1";"3413"
"62";"1";"4";"19070"
"62";"4";"1";"3546"
"62";"4";"4";"28819"
"63";"1";"1";"3601"
"63";"1";"4";"19937"
"63";"4";"1";"3686"
"63";"4";"4";"29273"
