"period";"profileUserSource";"profileUserDest";"total"
"1";"4";"4";"3"
"2";"4";"4";"3"
"3";"4";"4";"3"
"4";"4";"4";"3"
"5";"4";"4";"3"
"6";"1";"1";"1"
"6";"1";"4";"7"
"6";"4";"1";"8"
"6";"4";"4";"251"
"7";"1";"1";"3"
"7";"1";"4";"24"
"7";"4";"1";"13"
"7";"4";"4";"595"
"8";"1";"1";"5"
"8";"1";"4";"32"
"8";"4";"1";"20"
"8";"4";"4";"882"
"9";"1";"1";"5"
"9";"1";"4";"44"
"9";"4";"1";"24"
"9";"4";"4";"1145"
"10";"1";"1";"6"
"10";"1";"4";"65"
"10";"4";"1";"36"
"10";"4";"4";"1468"
"11";"1";"1";"10"
"11";"1";"4";"96"
"11";"4";"1";"44"
"11";"4";"4";"1757"
"12";"1";"1";"21"
"12";"1";"4";"142"
"12";"4";"1";"56"
"12";"4";"4";"2062"
"13";"1";"1";"23"
"13";"1";"4";"155"
"13";"4";"1";"58"
"13";"4";"4";"2288"
"14";"1";"1";"26"
"14";"1";"4";"188"
"14";"4";"1";"65"
"14";"4";"4";"2557"
"15";"1";"1";"37"
"15";"1";"4";"247"
"15";"4";"1";"78"
"15";"4";"4";"2867"
"16";"1";"1";"43"
"16";"1";"4";"275"
"16";"4";"1";"91"
"16";"4";"4";"3141"
"17";"1";"1";"50"
"17";"1";"4";"306"
"17";"4";"1";"107"
"17";"4";"4";"3368"
"18";"1";"1";"54"
"18";"1";"4";"329"
"18";"4";"1";"121"
"18";"4";"4";"3556"
"19";"1";"1";"59"
"19";"1";"4";"372"
"19";"4";"1";"131"
"19";"4";"4";"3812"
"20";"1";"1";"67"
"20";"1";"4";"439"
"20";"4";"1";"148"
"20";"4";"4";"4131"
"21";"1";"1";"76"
"21";"1";"4";"480"
"21";"4";"1";"155"
"21";"4";"4";"4331"
"22";"1";"1";"82"
"22";"1";"4";"515"
"22";"4";"1";"170"
"22";"4";"4";"4610"
"23";"1";"1";"86"
"23";"1";"4";"575"
"23";"4";"1";"191"
"23";"4";"4";"4890"
"24";"1";"1";"97"
"24";"1";"4";"628"
"24";"4";"1";"208"
"24";"4";"4";"5162"
"25";"1";"1";"112"
"25";"1";"4";"684"
"25";"4";"1";"241"
"25";"4";"4";"5462"
"26";"1";"1";"121"
"26";"1";"4";"744"
"26";"4";"1";"265"
"26";"4";"4";"5834"
"27";"1";"1";"135"
"27";"1";"4";"854"
"27";"4";"1";"292"
"27";"4";"4";"6133"
"28";"1";"1";"149"
"28";"1";"4";"942"
"28";"4";"1";"324"
"28";"4";"4";"6425"
"29";"1";"1";"163"
"29";"1";"4";"1046"
"29";"4";"1";"351"
"29";"4";"4";"6688"
"30";"1";"1";"177"
"30";"1";"4";"1116"
"30";"4";"1";"373"
"30";"4";"4";"6989"
"31";"1";"1";"198"
"31";"1";"4";"1224"
"31";"4";"1";"399"
"31";"4";"4";"7234"
"32";"1";"1";"226"
"32";"1";"4";"1346"
"32";"4";"1";"444"
"32";"4";"4";"7574"
"33";"1";"1";"241"
"33";"1";"4";"1446"
"33";"4";"1";"481"
"33";"4";"4";"7909"
"34";"1";"1";"259"
"34";"1";"4";"1577"
"34";"4";"1";"533"
"34";"4";"4";"8343"
"35";"1";"1";"283"
"35";"1";"4";"1713"
"35";"4";"1";"599"
"35";"4";"4";"8745"
"36";"1";"1";"306"
"36";"1";"4";"1838"
"36";"4";"1";"626"
"36";"4";"4";"9214"
"37";"1";"1";"322"
"37";"1";"4";"1957"
"37";"4";"1";"674"
"37";"4";"4";"9644"
"38";"1";"1";"352"
"38";"1";"4";"2160"
"38";"4";"1";"747"
"38";"4";"4";"10292"
"39";"1";"1";"381"
"39";"1";"4";"2322"
"39";"4";"1";"824"
"39";"4";"4";"10851"
"40";"1";"1";"416"
"40";"1";"4";"2478"
"40";"4";"1";"876"
"40";"4";"4";"11344"
"41";"1";"1";"453"
"41";"1";"4";"2681"
"41";"4";"1";"930"
"41";"4";"4";"11878"
"42";"1";"1";"484"
"42";"1";"4";"2866"
"42";"4";"1";"976"
"42";"4";"4";"12400"
"43";"1";"1";"531"
"43";"1";"4";"3091"
"43";"4";"1";"1038"
"43";"4";"4";"13000"
"44";"1";"1";"591"
"44";"1";"4";"3408"
"44";"4";"1";"1084"
"44";"4";"4";"13545"
"45";"1";"1";"632"
"45";"1";"4";"3655"
"45";"4";"1";"1136"
"45";"4";"4";"14107"
"46";"1";"1";"672"
"46";"1";"4";"3915"
"46";"4";"1";"1179"
"46";"4";"4";"14792"
"47";"1";"1";"703"
"47";"1";"4";"4135"
"47";"4";"1";"1241"
"47";"4";"4";"15334"
"48";"1";"1";"739"
"48";"1";"4";"4383"
"48";"4";"1";"1325"
"48";"4";"4";"16052"
"49";"1";"1";"787"
"49";"1";"4";"4682"
"49";"4";"1";"1395"
"49";"4";"4";"16608"
"50";"1";"1";"810"
