"id";"score";"profile_1";"profile_2"
"28194";"9";"4";"4"
"28194";"5";"4";"4"
"28318";"0";"4";"4"
"28151";"1";"4";"4"
"28141";"2";"4";"4"
"28322";"2";"1";"1"
"28322";"1";"1";"1"
"28244";"0";"4";"4"
"28318";"0";"4";"4"
"28162";"1";"4";"4"
"28318";"0";"4";"4"
"28244";"0";"4";"4"
"28194";"0";"4";"4"
"28318";"0";"4";"4"
"28194";"15";"4";"4"
"28244";"0";"4";"4"
"28162";"2";"4";"4"
"28148";"1";"4";"4"
"28162";"2";"4";"4"
"28331";"6";"4";"4"
"28151";"4";"4";"4"
"28215";"6";"4";"4"
"28150";"1";"4";"4"
"28162";"0";"4";"4"
"28151";"0";"4";"4"
"28194";"0";"4";"4"
"28299";"1";"4";"4"
"28151";"0";"4";"4"
"28299";"0";"4";"4"
"28151";"0";"4";"4"
"28093";"1";"4";"4"
"28194";"0";"4";"4"
"28148";"1";"4";"4"
"28125";"1";"4";"4"
"28151";"2";"4";"4"
"28194";"0";"4";"4"
"28244";"3";"4";"4"
"28244";"1";"4";"4"
"28244";"0";"4";"4"
"28244";"2";"4";"4"
"28194";"0";"4";"4"
"28244";"1";"4";"4"
"28244";"1";"4";"4"
"28194";"0";"4";"4"
"28194";"1";"4";"4"
"28194";"0";"4";"4"
"28338";"0";"1";"1"
"28292";"0";"4";"4"
"28151";"3";"4";"4"
"28292";"0";"4";"4"
"28090";"2";"4";"4"
"28194";"0";"4";"4"
"28151";"1";"4";"4"
"28114";"0";"4";"4"
"28292";"2";"4";"4"
"28292";"0";"4";"4"
"28194";"0";"4";"4"
"28211";"0";"4";"4"
"28211";"0";"4";"4"
"28114";"0";"4";"4"
"28244";"3";"4";"4"
"28292";"1";"4";"4"
"28292";"0";"4";"4"
"28194";"0";"4";"4"
"28244";"1";"4";"4"
"28120";"0";"4";"4"
"28299";"4";"4";"4"
"28299";"1";"4";"4"
"28299";"0";"4";"4"
"28132";"0";"4";"4"
"28132";"0";"4";"4"
"28132";"1";"4";"4"
"28188";"1";"4";"4"
"28304";"0";"4";"4"
"28349";"2";"4";"4"
"28162";"0";"4";"4"
"28244";"0";"4";"4"
"28151";"2";"4";"4"
"28149";"0";"4";"4"
"28244";"0";"4";"4"
"28093";"1";"4";"4"
"28132";"0";"4";"4"
"28151";"0";"4";"4"
"28139";"0";"4";"4"
"28355";"0";"1";"1"
"28151";"5";"4";"4"
"28194";"0";"4";"4"
"28323";"0";"4";"4"
"28323";"0";"4";"4"
"28323";"0";"4";"4"
"28151";"0";"4";"4"
"28148";"3";"4";"4"
"28292";"1";"4";"4"
"28194";"0";"4";"4"
"28148";"5";"4";"4"
"28227";"0";"4";"4"
"28227";"0";"4";"4"
"28151";"0";"4";"4"
"28148";"0";"4";"4"
"28363";"21";"1";"1"
"28367";"0";"4";"4"
"28150";"6";"4";"4"
"28244";"1";"4";"4"
"28111";"2";"4";"4"
"28196";"0";"4";"4"
"28244";"1";"4";"4"
"28194";"1";"4";"4"
"28199";"0";"4";"4"
"28310";"1";"4";"4"
"28292";"1";"4";"4"
"28194";"1";"4";"4"
"28371";"3";"4";"4"
"28371";"0";"4";"4"
"28371";"0";"4";"4"
"28194";"3";"4";"4"
"28162";"3";"4";"4"
"28154";"0";"4";"4"
"28167";"0";"4";"4"
"28279";"1";"4";"4"
"28324";"0";"4";"4"
"28196";"1";"4";"4"
"28139";"2";"4";"4"
"28148";"0";"4";"4"
"28154";"0";"4";"4"
"28148";"1";"4";"4"
"28107";"3";"4";"4"
"28371";"1";"4";"4"
"28165";"0";"4";"4"
