"id";"score";"profile_1";"profile_2"
"52914";"2";"4";"4"
"53829";"2";"4";"4"
"54872";"1";"4";"4"
"53062";"3";"4";"4"
"54927";"3";"4";"4"
"53459";"3";"4";"4"
"54926";"1";"1";"1"
"54316";"2";"4";"4"
"53438";"0";"4";"4"
"53459";"1";"4";"4"
"54577";"2";"4";"4"
"54387";"1";"4";"4"
"50247";"2";"4";"4"
"54316";"0";"4";"4"
"50562";"3";"4";"4"
"50621";"2";"4";"4"
"54930";"-1";"1";"1"
"54859";"0";"1";"1"
"52294";"4";"4";"4"
"54931";"1";"1";"4"
"51655";"7";"4";"4"
"53888";"16";"4";"4"
"53528";"10";"4";"4"
"53459";"1";"4";"4"
"54606";"3";"1";"1"
"54007";"0";"4";"4"
"50621";"6";"4";"4"
"50621";"4";"4";"4"
"54738";"4";"4";"4"
"50562";"1";"4";"4"
"54897";"2";"4";"4"
"50562";"7";"4";"4"
"54933";"2";"1";"1"
"53584";"0";"4";"4"
"54935";"2";"1";"1"
"53584";"1";"4";"4"
"53584";"1";"4";"4"
"52978";"1";"4";"4"
"53468";"2";"4";"4"
"53653";"1";"4";"4"
"53468";"13";"4";"4"
"53468";"5";"4";"4"
"52272";"13";"4";"4"
"54937";"31";"4";"4"
"51818";"8";"4";"4"
"53468";"44";"4";"4"
"50188";"4";"4";"4"
"50449";"53";"4";"4"
"54943";"1";"1";"1"
"52914";"13";"4";"4"
"54951";"2";"4";"4"
"53528";"1";"4";"4"
"54954";"1";"1";"1"
"52914";"2";"4";"4"
"54951";"1";"4";"4"
"54453";"3";"4";"4"
"50360";"6";"4";"4"
"53528";"3";"4";"4"
"54453";"1";"4";"4"
"54703";"5";"4";"4"
"52914";"3";"4";"4"
"53584";"3";"4";"4"
"52914";"7";"4";"4"
"54387";"0";"4";"4"
"53565";"2";"4";"4"
"54552";"3";"4";"4"
"52978";"7";"4";"4"
"53584";"5";"4";"4"
"54738";"4";"4";"4"
"54387";"0";"4";"4"
"52978";"5";"4";"4"
"50387";"4";"4";"4"
"50387";"3";"4";"4"
"50387";"2";"4";"4"
"54916";"2";"4";"4"
"54916";"5";"4";"4"
"50310";"3";"4";"4"
"54699";"3";"4";"4"
"50621";"3";"4";"4"
"54453";"2";"4";"4"
"54699";"1";"4";"4"
"54943";"2";"1";"1"
"54966";"0";"1";"1"
"52914";"6";"4";"4"
"53584";"1";"4";"4"
"50310";"4";"4";"4"
"52914";"7";"4";"4"
"54747";"1";"1";"4"
"53584";"0";"4";"4"
"54453";"2";"4";"4"
"54738";"2";"4";"4"
"52998";"2";"4";"4"
"53584";"3";"4";"4"
"50310";"6";"4";"4"
"53584";"2";"4";"4"
"54969";"1";"4";"4"
"54970";"5";"1";"1"
"53528";"4";"4";"4"
"52943";"3";"4";"4"
"54079";"8";"4";"4"
"52978";"3";"4";"4"
"52914";"5";"4";"4"
"54976";"8";"1";"1"
"52736";"5";"4";"4"
"50605";"13";"4";"4"
"54978";"0";"4";"4"
"54979";"2";"4";"4"
"54916";"4";"4";"4"
"54980";"5";"1";"1"
"54916";"1";"4";"4"
"54653";"1";"1";"1"
"54738";"4";"4";"4"
"54738";"3";"4";"4"
"54981";"4";"4";"4"
"53468";"6";"4";"4"
"53888";"18";"4";"4"
"52998";"3";"4";"4"
"54969";"1";"4";"4"
"54966";"0";"1";"1"
"50621";"1";"4";"4"
"54979";"3";"4";"4"
"54897";"8";"4";"4"
"54985";"3";"1";"1"
"53528";"3";"4";"4"
"54984";"1";"1";"4"
"54269";"5";"4";"4"
"50310";"0";"4";"4"
"54897";"6";"4";"4"
"52998";"4";"4";"4"
"54987";"6";"1";"1"
"54453";"5";"4";"4"
"52914";"10";"4";"4"
"52914";"7";"4";"4"
"50360";"5";"4";"4"
"54738";"5";"4";"4"
"54970";"-1";"1";"1"
"54738";"3";"4";"4"
"54738";"1";"4";"4"
"54991";"3";"1";"1"
"53468";"9";"4";"4"
"54993";"12";"4";"4"
"54994";"2";"4";"4"
"54995";"1";"1";"1"
"54996";"3";"1";"1"
"54966";"5";"1";"1"
"54966";"0";"1";"1"
"54916";"3";"4";"4"
"54966";"1";"1";"1"
"50562";"1";"4";"4"
"54916";"4";"4";"4"
"54966";"1";"1";"1"
"54996";"2";"1";"1"
"54916";"2";"4";"4"
"55000";"5";"4";"4"
"50357";"5";"4";"4"
"52914";"2";"4";"4"
"55003";"3";"4";"4"
"55003";"2";"4";"4"
"55004";"2";"1";"1"
"52978";"2";"4";"4"
"52914";"2";"4";"4"
"54970";"0";"1";"1"
"51632";"2";"4";"4"
"54269";"3";"4";"4"
"51655";"5";"4";"4"
"55008";"4";"1";"1"
"54497";"1";"4";"4"
"54453";"2";"4";"4"
"54699";"2";"4";"4"
"53529";"3";"4";"4"
"52914";"4";"4";"4"
"53529";"5";"4";"4"
"53529";"3";"4";"4"
"50605";"4";"4";"4"
"51632";"2";"4";"4"
"53459";"3";"4";"4"
"52998";"4";"4";"4"
"54738";"8";"4";"4"
"54979";"2";"4";"4"
"54808";"3";"4";"4"
"54954";"1";"1";"1"
"55011";"15";"1";"1"
"54842";"1";"1";"1"
"55003";"11";"4";"4"
"55003";"6";"4";"4"
"50188";"6";"4";"4"
"55013";"1";"1";"1"
"53529";"8";"4";"4"
"53529";"5";"4";"4"
"54623";"8";"4";"4"
"50562";"2";"4";"4"
"52914";"5";"4";"4"
"54943";"1";"1";"1"
"52914";"11";"4";"4"
"54979";"1";"4";"4"
"53864";"0";"4";"4"
"53864";"2";"4";"4"
"54916";"5";"4";"4"
"53529";"4";"4";"4"
"54916";"1";"4";"4"
"53653";"12";"4";"4"
"54699";"0";"4";"4"
"54699";"0";"4";"4"
"54626";"2";"1";"4"
"53948";"1";"4";"4"
"54699";"0";"4";"4"
"54699";"0";"4";"4"
"53584";"2";"4";"4"
"54699";"0";"4";"4"
"54699";"0";"4";"4"
"53529";"2";"4";"4"
"54872";"2";"4";"4"
"50310";"3";"4";"4"
"54390";"1";"4";"4"
"53478";"2";"4";"4"
"53478";"8";"4";"4"
"52914";"2";"4";"4"
"54872";"0";"4";"4"
"54872";"1";"4";"4"
"50621";"6";"4";"4"
"52914";"3";"4";"4"
"53529";"1";"4";"4"
"52998";"1";"4";"4"
"55003";"3";"4";"4"
"55016";"3";"1";"1"
"55003";"3";"4";"4"
"50562";"12";"4";"4"
"53888";"2";"4";"4"
"54202";"-3";"4";"4"
"52503";"3";"4";"4"
"55018";"13";"1";"1"
"51461";"3";"4";"4"
"54937";"0";"4";"4"
"54872";"-3";"4";"4"
"54937";"0";"4";"4"
"53468";"2";"4";"4"
"54623";"44";"4";"4"
"52914";"39";"4";"4"
"54969";"2";"4";"4"
"52624";"4";"4";"4"
"54808";"1";"4";"4"
"55022";"1";"1";"1"
"53584";"2";"4";"4"
"53653";"14";"4";"4"
"53584";"18";"4";"4"
"52303";"6";"4";"4"
"53529";"14";"4";"4"
"54887";"-1";"4";"4"
"55003";"3";"4";"4"
"52491";"0";"4";"4"
"52491";"4";"4";"4"
"50562";"6";"4";"4"
"54623";"0";"4";"4"
"54859";"1";"1";"1"
"53888";"2";"4";"4"
"53948";"2";"4";"4"
"50562";"5";"4";"4"
"54954";"0";"1";"1"
"54808";"5";"4";"4"
"54808";"1";"4";"4"
"53584";"3";"4";"4"
"52914";"4";"4";"4"
"54887";"2";"4";"4"
"53565";"1";"4";"4"
"54887";"4";"4";"4"
"54887";"1";"4";"4"
"52914";"2";"4";"4"
"53584";"-3";"4";"4"
"54141";"4";"4";"4"
"54316";"6";"4";"4"
"50360";"9";"4";"4"
"51655";"6";"4";"4"
"53529";"4";"4";"4"
"52914";"3";"4";"4"
"52964";"1";"1";"1"
"52015";"1";"4";"4"
"53080";"2";"1";"1"
"53948";"1";"4";"4"
"54618";"0";"1";"1"
"50562";"3";"4";"4"
"55037";"1";"1";"1"
"53888";"1";"4";"4"
"50621";"2";"4";"4"
"51655";"3";"4";"4"
"53529";"7";"4";"4"
"53584";"9";"4";"4"
"53529";"1";"4";"4"
"53980";"3";"4";"4"
"54453";"13";"4";"4"
"52281";"0";"1";"1"
"52978";"1";"4";"4"
"53529";"2";"4";"4"
"54288";"4";"4";"4"
"55039";"2";"1";"4"
"53778";"0";"4";"4"
"52914";"6";"4";"4"
"53584";"1";"4";"4"
"55040";"3";"1";"1"
"54894";"0";"4";"4"
"55042";"10";"4";"4"
"53459";"2";"4";"4"
"53459";"8";"4";"4"
"54531";"16";"4";"4"
"53529";"11";"4";"4"
"54979";"14";"4";"4"
"53888";"3";"4";"4"
"52998";"12";"4";"4"
"54808";"3";"4";"4"
"50562";"3";"4";"4"
"50562";"2";"4";"4"
"52998";"0";"4";"4"
"55046";"1";"4";"4"
"55047";"0";"1";"1"
"50562";"4";"4";"4"
"50947";"0";"4";"4"
"50562";"1";"4";"4"
"50621";"8";"4";"4"
"52503";"2";"4";"4"
"54951";"6";"4";"4"
"53584";"1";"4";"4"
"52914";"7";"4";"4"
"52914";"3";"4";"4"
"53529";"3";"4";"4"
"53584";"7";"4";"4"
"52914";"7";"4";"4"
"52914";"2";"4";"4"
"50191";"4";"4";"4"
"53584";"1";"4";"4"
"53584";"2";"4";"4"
"52914";"3";"4";"4"
"50188";"23";"4";"4"
"52914";"2";"4";"4"
"54738";"8";"4";"4"
"55050";"1";"1";"1"
"52978";"5";"4";"4"
"50287";"11";"4";"4"
"53584";"7";"4";"4"
"55009";"13";"4";"4"
"52914";"3";"4";"4"
"55009";"18";"4";"4"
"53529";"8";"4";"4"
"55052";"5";"1";"1"
"50562";"3";"4";"4"
"53459";"4";"4";"4"
"53468";"0";"4";"4"
"53468";"0";"4";"4"
"53814";"9";"1";"1"
"55054";"2";"1";"1"
"50357";"13";"4";"4"
"55028";"3";"4";"4"
"55055";"9";"1";"1"
"55056";"0";"1";"1"
"50562";"3";"4";"4"
"51282";"4";"4";"4"
"55057";"0";"4";"4"
"54000";"5";"4";"4"
"55058";"3";"1";"1"
"50562";"3";"4";"4"
"54000";"1";"4";"4"
"55059";"0";"4";"4"
"52914";"3";"4";"4"
"55059";"0";"4";"4"
"55061";"2";"1";"1"
"53529";"2";"4";"4"
"53778";"3";"4";"4"
"52914";"3";"4";"4"
"54540";"-2";"4";"4"
"54029";"2";"4";"4"
"55064";"3";"4";"4"
"54808";"2";"4";"4"
"52978";"5";"4";"4"
"53529";"2";"4";"4"
"52998";"0";"4";"4"
"51655";"3";"4";"4"
"54928";"37";"4";"4"
"51655";"5";"4";"4"
"50621";"8";"4";"4"
"53487";"5";"4";"4"
"50621";"14";"4";"4"
"52914";"30";"4";"4"
"53464";"5";"4";"4"
"52998";"1";"4";"4"
"52303";"10";"4";"4"
"55067";"17";"4";"4"
"51381";"16";"4";"4"
"53668";"2";"4";"4"
"55069";"0";"1";"1"
"53786";"2";"4";"4"
"54490";"9";"4";"4"
