"period";"graph_context_id";"user_id";"reputation";"id_community";"profile";"id";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"strongly_component";"weakly_component";"interactions";"id_graph_analysis_context";"id_user";"id_community"
"63";"134";"50255";"10285";"10";"4";"484657";"1331453,4424550543";"0,36910921549433645";"6";"0,3987308202310904";"0,0040167842741042036";"409";"94";"503";"0,4356510743432176";"21";"0,02963704615831375";"1043";"0";"786";"134";"50255";"10"
"63";"134";"50196";"9576";"10";"4";"484597";"817484,8833246715";"0,3454616844447353";"7";"0,37300985937089615";"0,0018994075671680698";"187";"92";"279";"0,14207751848143832";"16";"0,034263741225004196";"1043";"0";"543";"134";"50196";"10"
"63";"134";"56319";"9405";"10";"4";"489981";"1397511,2380418724";"0,34618663518919274";"7";"0,3753082744747683";"0,003763273160485443";"398";"111";"509";"0,2946966816777133";"21";"0,01755041815340519";"1043";"0";"867";"134";"56319";"10"
"63";"134";"65088";"9291";"10";"4";"495890";"1600286,1127254164";"0,35714768960151544";"6";"0,38607059417817546";"0,0055376433536047185";"612";"95";"707";"0,5869404852858671";"36";"0,02194170467555523";"1043";"0";"1387";"134";"65088";"10"
"63";"134";"52303";"9261";"10";"4";"486595";"704187,3700337373";"0,3552968097994346";"6";"0,38284397297466305";"0,0019129012265455122";"189";"74";"263";"0,24246252587906178";"16";"0,04708128795027733";"1043";"0";"484";"134";"52303";"10"
"63";"134";"50469";"9212";"10";"4";"484852";"612813,3702010295";"0,344290093262897";"7";"0,37011925057954803";"0,0016514804357663376";"153";"64";"217";"0,19639048886004024";"16";"0,06299030780792236";"1043";"0";"598";"134";"50469";"10"
"63";"134";"60826";"9060";"10";"4";"493627";"3499692,218891207";"0,3619720241360395";"6";"0,3965965776346424";"0,009566580015144977";"1114";"171";"1285";"0,8038268968281064";"36";"0,010692768730223179";"1043";"0";"3118";"134";"60826";"10"
"63";"134";"52978";"8120";"10";"4";"487151";"451543,4676175998";"0,3467095757257323";"7";"0,37149577391098815";"0,003060771597368339";"303";"50";"353";"0,4159488643568302";"18";"0,04674907401204109";"1043";"0";"868";"134";"52978";"10"
"63";"134";"54029";"7876";"10";"4";"488034";"419534,24917944294";"0,34462723593158373";"7";"0,3707790977728297";"0,0012221177786707741";"138";"68";"206";"0,16117065735540656";"18";"0,058313749730587006";"1043";"0";"530";"134";"54029";"10"
"63";"134";"50258";"7745";"10";"4";"484660";"407032,48546411586";"0,33157464983355317";"7";"0,35562471247258304";"0,0010269979872307104";"112";"66";"178";"0,0823267228876733";"16";"0,059355344623327255";"1043";"0";"373";"134";"50258";"10"
"63";"134";"52957";"7468";"10";"4";"487134";"891481,5578957167";"0,3584815971750645";"6";"0,3881701079749765";"0,002473853969265591";"302";"103";"405";"0,2044033264641525";"16";"0,02838883548974991";"1043";"0";"757";"134";"52957";"10"
"63";"134";"60359";"7460";"10";"4";"493238";"637418,6972867545";"0,3585546423962508";"6";"0,3873271452926547";"0,002030180489658252";"234";"87";"321";"0,2299034450174874";"36";"0,04416945204138756";"1043";"0";"728";"134";"60359";"10"
"63";"134";"50939";"6848";"10";"4";"485345";"951447,4055144112";"0,34557475778999736";"7";"0,37157786016469985";"0,0038024191685438876";"411";"71";"482";"0,37713052769944605";"36";"0,019893255084753036";"1043";"0";"743";"134";"50939";"10"
"63";"134";"53980";"6743";"10";"4";"487994";"843889,3099485231";"0,3598255061004703";"6";"0,39013702090040875";"0,002262374330781355";"255";"104";"359";"0,2529646211100266";"22";"0,03455996885895729";"1043";"0";"550";"134";"53980";"10"
"63";"134";"52599";"6741";"10";"4";"486843";"811045,2141366148";"0,3628926926514058";"7";"0,39204575181084295";"0,002108636829395855";"202";"85";"287";"0,2632911964469014";"16";"0,05191083624958992";"1043";"0";"570";"134";"52599";"10"
"63";"134";"54808";"6645";"10";"4";"488701";"574290,2687471234";"0,35018242122719734";"7";"0,37903823776146484";"0,001549782708804216";"202";"89";"291";"0,12291456201788209";"18";"0,03465959429740906";"1043";"0";"564";"134";"54808";"10"
"63";"134";"53459";"6516";"10";"4";"487544";"1098073,4121533926";"0,36254378133369963";"7";"0,39278768525783414";"0,0035668985703871353";"338";"99";"437";"0,3434746303233942";"18";"0,03342468664050102";"1043";"0";"1009";"134";"53459";"10"
"63";"134";"67626";"6384";"10";"4";"485636";"1363947,2943739179";"0,3474626472717699";"6";"0,3759708278082815";"0,0047167135861390114";"562";"93";"655";"0,4445244720598885";"7";"0,017315860837697983";"1043";"0";"1386";"134";"67626";"10"
"63";"134";"52001";"6139";"10";"4";"486356";"639758,1581651288";"0,3466640399264513";"7";"0,37284568686347613";"0,0015738331824220403";"190";"64";"254";"0,1852677499666231";"16";"0,035297662019729614";"1043";"0";"546";"134";"52001";"10"
"63";"134";"51743";"6138";"10";"4";"486122";"816235,5746153782";"0,3532048708684598";"6";"0,3811359474647831";"0,0024684152851122314";"240";"81";"321";"0,24549538635858156";"36";"0,03460891172289848";"1043";"0";"592";"134";"51743";"10"
"63";"134";"54697";"5829";"10";"4";"488617";"2265568,881761899";"0,371081119077745";"7";"0,4015488142595441";"0,007277688808266853";"791";"95";"886";"0,5531832728441708";"18";"0,012826597318053246";"1043";"0";"1460";"134";"54697";"10"
"63";"134";"54453";"5638";"10";"4";"488403";"665429,5177682318";"0,37932025580225626";"6";"0,4107880280356031";"0,0022549747144910274";"135";"116";"251";"0,3340685129701229";"18";"0,11910359561443329";"1043";"0";"1071";"134";"54453";"10"
"63";"134";"66693";"5588";"10";"4";"484708";"816572,7755984277";"0,37299512470854235";"6";"0,40638694197132347";"0,001234247106635177";"112";"145";"257";"0,16001703279022225";"36";"0,0569942444562912";"1043";"0";"630";"134";"66693";"10"
"63";"134";"58110";"5555";"10";"4";"491517";"323980,390222698";"0,3474855186940495";"6";"0,37347351139734747";"0,0013122948478936213";"157";"59";"216";"0,18023999131587293";"7";"0,06529508531093597";"1043";"0";"416";"134";"58110";"10"
"63";"134";"59034";"5421";"10";"4";"492222";"1106127,1462406125";"0,37439716312056737";"7";"0,4061077585040363";"0,002782278443658647";"328";"112";"440";"0,3120325019413425";"36";"0,0336369052529335";"1043";"0";"892";"134";"59034";"10"
"63";"134";"51307";"5166";"10";"4";"485711";"764165,121750811";"0,352897920984023";"7";"0,3798022713536864";"0,002525356897082846";"275";"75";"350";"0,3642433613150588";"20";"0,044128548353910446";"1043";"0";"703";"134";"51307";"10"
"63";"134";"51567";"5057";"10";"4";"485963";"346750,4144120614";"0,3156352765321375";"7";"0,3347337609034775";"0,0012337407868624878";"136";"35";"171";"0,13109204525875034";"16";"0,03891509398818016";"1043";"0";"300";"134";"51567";"10"
"63";"134";"50605";"4842";"10";"4";"484992";"364709,4828698614";"0,35022888608770647";"7";"0,37673666549398793";"0,0009815040695263114";"117";"67";"184";"0,11868103679543278";"16";"0,05421363562345505";"1043";"0";"315";"134";"50605";"10"
"63";"134";"50213";"4657";"10";"4";"484614";"310078,52494668635";"0,3262468327050244";"7";"0,34850530854507433";"0,0014132880499495928";"134";"43";"177";"0,16696941357382927";"16";"0,06149835139513016";"1043";"0";"263";"134";"50213";"10"
"63";"134";"50518";"4539";"10";"4";"484900";"290590,91053985484";"0,334177375451035";"7";"0,3573422094732786";"0,0007079700684263683";"63";"55";"118";"0,08355039749880931";"16";"0,07726655155420303";"1043";"0";"196";"134";"50518";"10"
"63";"134";"51381";"4498";"10";"4";"485799";"500781,4782870297";"0,35130099154854594";"7";"0,3780942458438016";"0,001264814970348839";"132";"66";"198";"0,13712784345576076";"16";"0,05203084275126457";"1043";"0";"391";"134";"51381";"10"
"63";"134";"54066";"4487";"10";"4";"488060";"713691,642107452";"0,32723778824696254";"7";"0,34883861481700656";"0,004727385374352425";"506";"42";"548";"0,5127981438930148";"21";"0,019328031688928604";"1043";"0";"864";"134";"54066";"10"
"63";"134";"59504";"4471";"10";"4";"492566";"567040,0192904024";"0,3618479676468572";"7";"0,3913732759631477";"0,001123244463956763";"112";"91";"203";"0,16433149191035454";"7";"0,0695727989077568";"1043";"0";"519";"134";"59504";"10"
"63";"134";"53528";"4468";"10";"4";"487597";"223416,11902597448";"0,3185878092939046";"7";"0,33684590335469694";"0,0010560297978437925";"133";"29";"162";"0,11197386649675836";"16";"0,03878568857908249";"1043";"0";"260";"134";"53528";"10"
"63";"134";"58903";"4369";"10";"4";"492100";"462305,7073732998";"0,33066082054494206";"6";"0,3533844793837086";"0,002590874656206914";"232";"49";"281";"0,3573526177062899";"36";"0,048521436750888824";"1043";"0";"440";"134";"58903";"10"
"63";"134";"50181";"4364";"10";"4";"484580";"307562,5768971396";"0,33487693478812486";"6";"0,3577792511207777";"0,0006786852298446839";"69";"51";"120";"0,10994135609810131";"16";"0,07688238471746445";"1043";"0";"196";"134";"50181";"10"
"63";"134";"61685";"4319";"10";"4";"494271";"713057,480811809";"0,3468918386121698";"7";"0,3745758125185911";"0,0017491748027053527";"206";"80";"286";"0,17441552394271712";"7";"0,0352477990090847";"1043";"0";"510";"134";"61685";"10"
"63";"134";"50306";"4295";"10";"4";"484705";"108552,7225244996";"0,3249015263417036";"7";"0,3458424665566025";"0,0003765546269624718";"28";"33";"61";"0,0398105557915899";"16";"0,162289559841156";"1043";"0";"132";"134";"50306";"10"
"63";"134";"53584";"4251";"10";"4";"487643";"1881354,9741417016";"0,4005007207343904";"6";"0,437784934015276";"0,0029902196325773565";"256";"216";"472";"0,40127207375804674";"18";"0,05658286064863205";"1043";"0";"3034";"134";"53584";"10"
"63";"134";"56378";"4204";"10";"4";"490033";"179374,5759948552";"0,3288686768003987";"7";"0,35113387275727176";"0,0006082103722339408";"67";"41";"108";"0,07372685049403585";"18";"0,07405848801136017";"1043";"0";"298";"134";"56378";"10"
"63";"134";"62577";"3991";"10";"4";"494724";"555084,4341484357";"0,3382239876986161";"6";"0,36441245185324084";"0,0017852030038188623";"212";"71";"283";"0,18369259256183854";"21";"0,035808395594358444";"1043";"0";"483";"134";"62577";"10"
"63";"134";"58500";"3966";"10";"4";"491812";"371525,1104590307";"0,3598745654100484";"7";"0,3875089077115825";"0,0014756940998939668";"117";"59";"176";"0,20390970876683123";"17";"0,09278429299592972";"1043";"0";"384";"134";"58500";"10"
"63";"134";"59197";"3853";"10";"4";"492331";"321716,2482773618";"0,35784978308026033";"7";"0,38544096555082036";"0,0012250431615207313";"85";"68";"153";"0,17217552486921983";"7";"0,1123981773853302";"1043";"0";"366";"134";"59197";"10"
