"period";"profile";"avgDegree";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgPagerank";"avgEigenvector";"avgInteractions"
"20";"3";"2,7059";"1,0000";"1,7059";"37,63727401135301";"0,0003016183858104185";"0,00863105421896538";"3,3676"
"20";"4";"13,0939";"6,7317";"6,3621";"1574,7506946187154";"0,0009649413893450866";"0,0496489781117086";"23,3279"
"21";"1";"2,0000";"1,0000";"1,0000";"1,7404833029289548";"0,0002951561581410152";"0,009655846725721359";"2,1667"
"21";"2";"2,9886";"0,7500";"2,2386";"14,849033097635008";"0,00023224067284891188";"0,004108753694944301";"3,7955"
"21";"3";"2,7299";"1,0095";"1,7204";"36,32475745878177";"0,00028342940283711867";"0,008346368548988289";"3,4265"
"21";"4";"13,1337";"6,7667";"6,3670";"1664,9520887109368";"0,000920948017266906";"0,04761538472437596";"23,2859"
"22";"1";"1,7778";"0,7778";"1,0000";"1,2072226409483309";"0,000268539493882234";"0,00865057356892064";"1,8889"
"22";"2";"2,9293";"0,7374";"2,1919";"13,888449361628131";"0,0002195581368592284";"0,004012277840797458";"3,6970"
"22";"3";"2,8018";"1,0461";"1,7558";"36,62783626897115";"0,00027258798432805697";"0,00821933920343611";"3,5576"
"22";"4";"13,3153";"6,8606";"6,4547";"1748,9092530975136";"0,0008707745005695587";"0,04585875847710767";"23,6008"
"23";"1";"1,5833";"0,7500";"0,8333";"0,9338355362015406";"0,00023724437137622289";"0,006635314879355088";"1,6667"
"23";"2";"2,7851";"0,7107";"2,0744";"20,456309582415404";"0,00021605990425756404";"0,0037910396314791927";"3,4793"
"23";"3";"2,8253";"1,0349";"1,7904";"44,000349520566786";"0,0002534143323650042";"0,007710310015214502";"3,5721"
"23";"4";"13,3177";"6,8742";"6,4435";"1919,4783995856174";"0,0008204161566475631";"0,04322042833224554";"23,6175"
"24";"1";"1,5833";"0,7500";"0,8333";"0,9428697641138615";"0,00022442314219321";"0,006638562569980911";"1,6667"
"24";"2";"2,8209";"0,7164";"2,1045";"19,859508330099402";"0,00020378711528357474";"0,003776057669374252";"3,5299"
"24";"3";"2,8730";"1,0451";"1,8279";"42,85515079546618";"0,0002453206338364829";"0,007524922983742194";"3,5943"
"24";"4";"13,3478";"6,9013";"6,4465";"2043,0948912785827";"0,0007687734755134179";"0,04225294212135486";"23,7016"
"25";"1";"1,7273";"0,8182";"0,9091";"0,7553005101294424";"0,00020005960779539031";"0,004519700038491151";"1,8182"
"25";"2";"2,8378";"0,7365";"2,1014";"20,047833299561724";"0,0001944889860466835";"0,00423927068319984";"3,5878"
"25";"3";"2,8717";"1,0679";"1,8038";"61,84512260747922";"0,00023068337213262165";"0,007391060623803619";"3,6491"
"25";"4";"13,3247";"6,8880";"6,4367";"2262,8623829971257";"0,0007173118275099928";"0,04067237547795085";"23,7149"
"26";"1";"1,9630";"0,8519";"1,1111";"2,075150774573874";"0,00018591271131335267";"0,004595550900502483";"2,1111"
"26";"2";"2,7576";"0,7152";"2,0424";"20,211241335407184";"0,00017991805351390245";"0,003957414003256982";"3,4606"
"26";"3";"2,9140";"1,0824";"1,8315";"75,93336654224035";"0,00021719724299904623";"0,007096161599759375";"3,6595"
"26";"4";"13,4546";"6,9594";"6,4952";"2449,6549699503294";"0,0006733211094337295";"0,03880231986846426";"24,0032"
"27";"1";"2,0323";"0,8387";"1,1935";"2,9828082852567848";"0,00017321245845391603";"0,00418144717696612";"2,2258"
"27";"2";"2,7539";"0,6963";"2,0576";"22,010249911009133";"0,00016887763819866867";"0,0037736881356870058";"3,4974"
"27";"3";"3,0033";"1,0870";"1,9164";"74,24701241545203";"0,00020393161787028518";"0,006970413354253246";"3,7860"
"27";"4";"13,6133";"7,0714";"6,5418";"2681,4262433652393";"0,000642450491548514";"0,037760006619121135";"24,4276"
"28";"1";"2,0857";"0,8857";"1,2000";"3,0142547031860882";"0,00016426084999957778";"0,003962681507839393";"2,3714"
"28";"2";"2,8000";"0,7333";"2,0667";"34,79948378051001";"0,0001649076563127866";"0,003997292283251611";"3,6048"
"28";"3";"3,0823";"1,0918";"1,9905";"76,72025813484157";"0,0001941790233014439";"0,00687741726780059";"3,8797"
"28";"4";"13,7967";"7,1807";"6,6159";"2845,4990254625427";"0,0006184014710614098";"0,036772560296829994";"25,0354"
"29";"1";"2,0513";"0,8718";"1,1795";"3,1603899356263825";"0,0001530132670906344";"0,0037190739046171774";"2,3077"
"29";"2";"2,7448";"0,6862";"2,0586";"32,67860997019034";"0,0001518890321241268";"0,003536960419066858";"3,4979"
"29";"3";"3,1176";"1,0971";"2,0206";"76,39593160112761";"0,00018326583467683004";"0,006654408015629225";"3,9559"
"29";"4";"13,9205";"7,2699";"6,6506";"3041,141988887548";"0,0005940958496372123";"0,0360965200689334";"25,5919"
"30";"1";"2,0732";"0,9024";"1,1707";"4,261718586057226";"0,00015085531785359564";"0,004946923203395657";"2,3171"
"30";"2";"2,7558";"0,6899";"2,0659";"36,43924349762334";"0,00014402706164327303";"0,0034197623673483278";"3,5620"
"30";"3";"3,1198";"1,0919";"2,0279";"84,36387376929171";"0,000175080407045623";"0,006378703869263603";"3,9526"
"30";"4";"14,0328";"7,3364";"6,6964";"3213,2701130650926";"0,0005720313406598187";"0,03538142980007277";"26,0520"
"31";"1";"2,1163";"0,9070";"1,2093";"4,2249796886257105";"0,00014275937475075555";"0,004715454447854114";"2,3488"
"31";"2";"2,7829";"0,6868";"2,0961";"35,64370641151077";"0,00013781726901098277";"0,003317812284133957";"3,5836"
"31";"3";"3,1963";"1,1099";"2,0864";"117,65342263163195";"0,00016756379778212145";"0,006253814610290402";"4,0471"
"31";"4";"14,0738";"7,3805";"6,6933";"3439,9585561744034";"0,00054908982404361";"0,03493326983657254";"26,3146"
"32";"1";"2,2292";"0,8958";"1,3333";"4,880158509267545";"0,00013725970760965428";"0,005005907197497729";"2,4375"
"32";"2";"2,7788";"0,7009";"2,0779";"44,924458407155";"0,00013023391465921683";"0,0031817981017154768";"3,5358"
"32";"3";"3,2543";"1,1383";"2,1160";"134,36578105393855";"0,00015876938380205948";"0,006110069412504992";"4,1086"
"32";"4";"14,1468";"7,4337";"6,7131";"3730,3094462382687";"0,0005209800327709091";"0,03368256893135554";"26,6997"
"33";"1";"2,2449";"0,8980";"1,3469";"4,30472160558851";"0,00013164964347594398";"0,004845216042734111";"2,4490"
"33";"2";"2,7771";"0,6943";"2,0829";"49,99688582151483";"0,0001243978711620281";"0,003332017961750588";"3,5029"
"33";"3";"3,2834";"1,1569";"2,1265";"159,59593436087303";"0,00015204218809069088";"0,005932230339994686";"4,1499"
"33";"4";"14,1134";"7,4249";"6,6885";"3998,4015132841064";"0,0004980054584869001";"0,03254429488889959";"26,8450"
"34";"1";"2,2500";"0,9038";"1,3462";"4,87658828468768";"0,00012375276224088502";"0,004896882282870956";"2,4423"
"34";"2";"2,7552";"0,6875";"2,0677";"49,301583612812955";"0,00011706925677951956";"0,003286330563894751";"3,4375"
"34";"3";"3,2811";"1,1609";"2,1202";"201,85613080708134";"0,00014446336266538012";"0,006012101331431268";"4,1567"
"34";"4";"13,9910";"7,3692";"6,6218";"4278,3450316485605";"0,00046292097565164825";"0,03127936417077066";"26,6667"
"35";"1";"2,1695";"0,8983";"1,2712";"5,170204130904485";"0,0001156938180162487";"0,004582567727022076";"2,3390"
"35";"2";"2,8148";"0,6988";"2,1160";"58,13645998719979";"0,0001118094062859314";"0,003337869744358907";"3,5333"
"35";"3";"3,2821";"1,1809";"2,1012";"197,89158902400592";"0,00013896934820426644";"0,00607889803058288";"4,1576"
"35";"4";"14,0692";"7,4158";"6,6534";"4577,780609773983";"0,00043880939537728556";"0,03027264001837451";"26,8773"
"36";"1";"2,2419";"0,9194";"1,3226";"5,29037829755149";"0,00010871391027367862";"0,0043435103363898804";"2,4032"
"36";"2";"2,8245";"0,6975";"2,1270";"60,008931018253556";"0,00010533415725095658";"0,003214929523166364";"3,6005"
"36";"3";"3,3309";"1,1803";"2,1506";"223,90711174784855";"0,0001323060153775903";"0,005941879752118949";"4,2175"
"36";"4";"14,1592";"7,4762";"6,6830";"4841,453131492727";"0,0004184554918992809";"0,029511312880921625";"27,0048"
"37";"1";"2,2090";"0,8955";"1,3134";"5,586589219956614";"0,00010384731116511766";"0,004151188098709858";"2,3731"
"37";"2";"2,8262";"0,6974";"2,1288";"52,933385680878125";"0,00010120701575792708";"0,0032356627689762185";"3,6266"
"37";"3";"3,2949";"1,1745";"2,1204";"222,00556650857922";"0,00012837986012697678";"0,005991048181077431";"4,1745"
"37";"4";"14,3408";"7,5765";"6,7643";"5193,496094015469";"0,00040431242597024106";"0,02949906873001581";"27,3940"
"38";"1";"2,1549";"0,8732";"1,2817";"5,372419753322971";"0,00009564999627210708";"0,0038644534300156623";"2,3099"
"38";"2";"2,8433";"0,6944";"2,1488";"52,092279883078355";"0,00009436175140068672";"0,0031668502531103965";"3,6230"
"38";"3";"3,3186";"1,1830";"2,1356";"229,04100567202528";"0,00012037784189644194";"0,005929508508241446";"4,2271"
"38";"4";"14,4429";"7,6428";"6,8001";"5691,190654867594";"0,00037887451800611426";"0,028827020130097827";"27,4115"
"39";"1";"2,1139";"0,8861";"1,2278";"5,490484928751035";"0,00009012864551311345";"0,0036301762576347193";"2,2658"
"39";"2";"2,8367";"0,6865";"2,1503";"51,61869803974256";"0,00008846604953247207";"0,003087595573156685";"3,6623"
"39";"3";"3,2851";"1,1891";"2,0960";"221,30266383339372";"0,00011418635091635428";"0,005871993909890257";"4,1934"
"39";"4";"14,4583";"7,6521";"6,8062";"6094,795980205188";"0,00035737567246534486";"0,028039586881221278";"27,4548"
"40";"1";"2,1481";"0,8765";"1,2716";"5,491663677837606";"0,00008580672868102483";"0,003604970052858638";"2,3086"
"40";"2";"2,8531";"0,6836";"2,1696";"55,30397401798675";"0,00008358345603575835";"0,002987064624666068";"3,6766"
"40";"3";"3,2972";"1,2008";"2,0964";"224,2078237562893";"0,00010925255359351671";"0,00586719895506284";"4,1968"
"40";"4";"14,5022";"7,6844";"6,8179";"6476,057015507187";"0,0003418712007443352";"0,027486346064773914";"27,5413"
"41";"1";"2,1628";"0,8721";"1,2907";"6,474582616082076";"0,00008068428006232702";"0,0034121211330659165";"2,3256"
"41";"2";"2,9155";"0,6954";"2,2201";"54,86022484656741";"0,00008054169294480465";"0,0030645560676950995";"3,8022"
"41";"3";"3,3095";"1,2033";"2,1061";"245,75945426590516";"0,00010379057577001932";"0,005938839787057446";"4,2315"
"41";"4";"14,6914";"7,8029";"6,8885";"7003,761944900526";"0,0003278448045027";"0,027651542182730526";"28,0059"
"42";"1";"2,1444";"0,8778";"1,2667";"6,348473066189657";"0,00007821005841042472";"0,0033423061931450097";"2,3222"
