"profile_1";"period";"myCount";"totalUserProfile";"description"
"1";"47";"114";"19885";"questions"
"1";"48";"116";"19885";"questions"
"1";"49";"127";"19885";"questions"
"1";"50";"99";"19885";"questions"
"1";"51";"132";"19885";"questions"
"1";"52";"182";"19885";"questions"
"1";"53";"202";"19885";"questions"
"1";"54";"129";"19885";"questions"
"1";"55";"138";"19885";"questions"
"1";"56";"168";"19885";"questions"
"1";"57";"162";"19885";"questions"
"1";"58";"134";"19885";"questions"
"1";"59";"129";"19885";"questions"
"1";"60";"154";"19885";"questions"
"1";"61";"178";"19885";"questions"
"1";"62";"179";"19885";"questions"
"1";"63";"148";"19885";"questions"
"1";"64";"166";"19885";"questions"
"1";"65";"170";"19885";"questions"
"1";"66";"139";"19885";"questions"
"1";"67";"182";"19885";"questions"
"1";"68";"222";"19885";"questions"
"1";"69";"215";"19885";"questions"
"1";"70";"258";"19885";"questions"
"1";"71";"282";"19885";"questions"
"1";"72";"170";"19885";"questions"
"4";"1";"1";"2209";"questions"
"4";"6";"93";"2209";"questions"
"4";"7";"112";"2209";"questions"
"4";"8";"138";"2209";"questions"
"4";"9";"114";"2209";"questions"
"4";"10";"121";"2209";"questions"
"4";"11";"114";"2209";"questions"
"4";"12";"109";"2209";"questions"
"4";"13";"85";"2209";"questions"
"4";"14";"74";"2209";"questions"
"4";"15";"101";"2209";"questions"
"4";"16";"97";"2209";"questions"
"4";"17";"100";"2209";"questions"
"4";"18";"68";"2209";"questions"
"4";"19";"94";"2209";"questions"
"4";"20";"102";"2209";"questions"
"4";"21";"77";"2209";"questions"
"4";"22";"102";"2209";"questions"
"4";"23";"96";"2209";"questions"
"4";"24";"97";"2209";"questions"
"4";"25";"106";"2209";"questions"
"4";"26";"139";"2209";"questions"
"4";"27";"145";"2209";"questions"
"4";"28";"113";"2209";"questions"
"4";"29";"139";"2209";"questions"
"4";"30";"117";"2209";"questions"
"4";"31";"87";"2209";"questions"
"4";"32";"168";"2209";"questions"
"4";"33";"153";"2209";"questions"
"4";"34";"159";"2209";"questions"
"4";"35";"174";"2209";"questions"
"4";"36";"122";"2209";"questions"
"4";"37";"135";"2209";"questions"
"4";"38";"143";"2209";"questions"
"4";"39";"187";"2209";"questions"
"4";"40";"173";"2209";"questions"
"4";"41";"146";"2209";"questions"
"4";"42";"144";"2209";"questions"
"4";"43";"136";"2209";"questions"
"4";"44";"156";"2209";"questions"
"4";"45";"170";"2209";"questions"
"4";"46";"204";"2209";"questions"
"4";"47";"164";"2209";"questions"
"4";"48";"189";"2209";"questions"
"4";"49";"173";"2209";"questions"
"4";"50";"166";"2209";"questions"
"4";"51";"167";"2209";"questions"
"4";"52";"123";"2209";"questions"
"4";"53";"173";"2209";"questions"
"4";"54";"122";"2209";"questions"
"4";"55";"135";"2209";"questions"
"4";"56";"181";"2209";"questions"
"4";"57";"160";"2209";"questions"
"4";"58";"165";"2209";"questions"
"4";"59";"131";"2209";"questions"
"4";"60";"141";"2209";"questions"
"4";"61";"98";"2209";"questions"
"4";"62";"128";"2209";"questions"
"4";"63";"133";"2209";"questions"
"4";"64";"146";"2209";"questions"
"4";"65";"137";"2209";"questions"
"4";"66";"114";"2209";"questions"
"4";"67";"149";"2209";"questions"
"4";"68";"150";"2209";"questions"
"4";"69";"148";"2209";"questions"
"4";"70";"211";"2209";"questions"
"4";"71";"161";"2209";"questions"
"4";"72";"77";"2209";"questions"
"4";"0";"1";"2209";"comments"
"4";"1";"2";"2209";"comments"
"4";"6";"223";"2209";"comments"
"4";"7";"405";"2209";"comments"
"4";"8";"352";"2209";"comments"
"4";"9";"366";"2209";"comments"
"4";"10";"445";"2209";"comments"
"4";"11";"450";"2209";"comments"
"4";"12";"465";"2209";"comments"
"4";"13";"350";"2209";"comments"
"4";"14";"432";"2209";"comments"
"4";"15";"474";"2209";"comments"
"4";"16";"372";"2209";"comments"
"4";"17";"372";"2209";"comments"
"4";"18";"282";"2209";"comments"
"4";"19";"311";"2209";"comments"
"4";"20";"455";"2209";"comments"
"4";"21";"254";"2209";"comments"
"4";"22";"405";"2209";"comments"
"4";"23";"402";"2209";"comments"
"4";"24";"390";"2209";"comments"
"4";"25";"505";"2209";"comments"
"4";"26";"540";"2209";"comments"
"4";"27";"538";"2209";"comments"
"4";"28";"599";"2209";"comments"
"4";"29";"626";"2209";"comments"
"4";"30";"586";"2209";"comments"
"4";"31";"550";"2209";"comments"
"4";"32";"688";"2209";"comments"
"4";"33";"650";"2209";"comments"
"4";"34";"756";"2209";"comments"
"4";"35";"735";"2209";"comments"
"4";"36";"755";"2209";"comments"
"4";"37";"756";"2209";"comments"
"4";"38";"1004";"2209";"comments"
"4";"39";"995";"2209";"comments"
"4";"40";"872";"2209";"comments"
"4";"41";"1062";"2209";"comments"
"4";"42";"1106";"2209";"comments"
"4";"43";"1440";"2209";"comments"
"4";"44";"1247";"2209";"comments"
"4";"45";"1326";"2209";"comments"
"4";"46";"1358";"2209";"comments"
"4";"47";"1203";"2209";"comments"
"4";"48";"1530";"2209";"comments"
"4";"49";"1424";"2209";"comments"
"4";"50";"1069";"2209";"comments"
"4";"51";"1047";"2209";"comments"
"4";"52";"946";"2209";"comments"
"4";"53";"1191";"2209";"comments"
"4";"54";"933";"2209";"comments"
"4";"55";"1124";"2209";"comments"
"4";"56";"1021";"2209";"comments"
"4";"57";"1002";"2209";"comments"
"4";"58";"993";"2209";"comments"
"4";"59";"875";"2209";"comments"
"4";"60";"1028";"2209";"comments"
"4";"61";"750";"2209";"comments"
"4";"62";"1080";"2209";"comments"
"4";"63";"1188";"2209";"comments"
"4";"64";"884";"2209";"comments"
"4";"65";"923";"2209";"comments"
"4";"66";"953";"2209";"comments"
"4";"67";"1058";"2209";"comments"
"4";"68";"1251";"2209";"comments"
"4";"69";"1619";"2209";"comments"
"4";"70";"1841";"2209";"comments"
"4";"71";"1434";"2209";"comments"
"4";"72";"800";"2209";"comments"
"1";"6";"12";"19885";"comments"
"1";"7";"13";"19885";"comments"
"1";"8";"11";"19885";"comments"
"1";"9";"3";"19885";"comments"
"1";"10";"11";"19885";"comments"
"1";"11";"17";"19885";"comments"
"1";"12";"35";"19885";"comments"
"1";"13";"12";"19885";"comments"
"1";"14";"15";"19885";"comments"
"1";"15";"32";"19885";"comments"
"1";"16";"32";"19885";"comments"
"1";"17";"24";"19885";"comments"
"1";"18";"29";"19885";"comments"
"1";"19";"21";"19885";"comments"
"1";"20";"53";"19885";"comments"
"1";"21";"26";"19885";"comments"
"1";"22";"28";"19885";"comments"
"1";"23";"44";"19885";"comments"
"1";"24";"65";"19885";"comments"
"1";"25";"74";"19885";"comments"
"1";"26";"33";"19885";"comments"
"1";"27";"71";"19885";"comments"
"1";"28";"48";"19885";"comments"
"1";"29";"43";"19885";"comments"
"1";"30";"61";"19885";"comments"
"1";"31";"75";"19885";"comments"
"1";"32";"87";"19885";"comments"
"1";"33";"74";"19885";"comments"
"1";"34";"95";"19885";"comments"
"1";"35";"118";"19885";"comments"
"1";"36";"120";"19885";"comments"
"1";"37";"108";"19885";"comments"
"1";"38";"155";"19885";"comments"
"1";"39";"167";"19885";"comments"
"1";"40";"120";"19885";"comments"
"1";"41";"162";"19885";"comments"
"1";"42";"161";"19885";"comments"
"1";"43";"158";"19885";"comments"
"1";"44";"165";"19885";"comments"
"1";"45";"147";"19885";"comments"
"1";"46";"141";"19885";"comments"
"1";"47";"165";"19885";"comments"
"1";"48";"180";"19885";"comments"
"1";"49";"189";"19885";"comments"
"1";"50";"148";"19885";"comments"
"1";"51";"170";"19885";"comments"
"1";"52";"191";"19885";"comments"
"1";"53";"245";"19885";"comments"
"1";"54";"110";"19885";"comments"
"1";"55";"163";"19885";"comments"
"1";"56";"210";"19885";"comments"
"1";"57";"193";"19885";"comments"
"1";"58";"186";"19885";"comments"
"1";"59";"179";"19885";"comments"
"1";"60";"200";"19885";"comments"
"1";"61";"216";"19885";"comments"
"1";"62";"307";"19885";"comments"
"1";"63";"174";"19885";"comments"
"1";"64";"211";"19885";"comments"
"1";"65";"172";"19885";"comments"
"1";"66";"195";"19885";"comments"
"1";"67";"258";"19885";"comments"
"1";"68";"232";"19885";"comments"
"1";"69";"252";"19885";"comments"
"1";"70";"336";"19885";"comments"
"1";"71";"314";"19885";"comments"
"1";"72";"206";"19885";"comments"
