"totalPost";"userId";"profile_1";"profile_2"
"2";"51290";"4";"4"
"1";"51294";"1";"1"
"1";"51300";"1";"1"
"1";"51304";"4";"4"
"107";"51307";"4";"4"
"1";"51310";"1";"1"
"1";"51321";"4";"4"
"25";"51322";"4";"4"
"1";"51327";"4";"4"
"1";"51339";"1";"1"
"14";"51342";"4";"4"
"2";"51346";"1";"4"
"1";"51351";"1";"1"
"7";"51361";"4";"4"
"2";"51362";"4";"4"
"1";"51367";"4";"4"
"1";"51377";"4";"4"
"1";"51378";"1";"1"
"31";"51381";"4";"4"
"1";"51385";"1";"1"
"25";"51407";"4";"4"
"3";"51408";"4";"4"
"14";"51426";"4";"4"
"1";"51428";"4";"4"
"3";"51430";"4";"4"
"1";"51435";"1";"1"
"19";"51446";"4";"4"
"2";"51449";"4";"4"
"1";"51465";"4";"4"
"1";"51471";"4";"4"
"1";"51472";"1";"1"
"2";"51478";"4";"4"
"2";"51499";"4";"4"
"1";"51500";"1";"1"
"77";"51502";"4";"4"
"2";"51505";"4";"4"
"1";"51512";"1";"1"
"1";"51519";"1";"1"
"1";"51525";"1";"1"
"1";"51529";"1";"1"
"7";"51532";"4";"4"
"1";"51545";"1";"1"
"6";"51546";"4";"4"
"2";"51553";"1";"1"
"1";"51558";"4";"4"
"37";"51567";"4";"4"
"1";"51569";"1";"1"
"40";"51579";"4";"4"
"1";"51592";"4";"4"
"1";"51610";"4";"4"
"1";"51632";"4";"4"
"1";"51640";"1";"1"
"2";"51641";"4";"4"
"1";"51647";"4";"4"
"1";"51655";"4";"4"
"1";"51657";"4";"4"
"1";"51658";"1";"1"
"4";"51664";"4";"4"
"4";"51670";"4";"4"
"1";"51684";"1";"1"
"4";"51688";"4";"4"
"1";"51701";"1";"1"
"2";"51702";"1";"1"
"2";"51708";"4";"4"
"1";"51709";"4";"4"
"1";"51717";"1";"1"
"1";"51723";"4";"4"
"1";"51728";"4";"4"
"8";"51738";"4";"4"
"125";"51743";"4";"4"
"1";"51749";"4";"4"
"1";"51756";"4";"4"
"1";"51763";"1";"1"
"4";"51778";"4";"4"
"2";"51804";"4";"4"
"1";"51806";"1";"4"
"28";"51818";"4";"4"
"48";"51826";"4";"4"
"6";"51828";"4";"4"
"1";"51850";"1";"1"
"2";"51851";"4";"4"
"2";"51852";"4";"4"
"3";"51854";"4";"4"
"1";"51873";"1";"1"
"4";"51874";"4";"4"
"2";"51879";"4";"4"
"2";"51880";"1";"4"
"1";"51908";"4";"4"
"2";"51909";"4";"4"
"4";"51928";"4";"4"
"1";"51930";"1";"1"
"2";"51932";"4";"4"
"1";"51934";"1";"4"
"1";"51937";"4";"4"
"6";"51968";"4";"4"
"2";"51975";"4";"4"
"1";"51978";"4";"4"
"1";"51993";"1";"1"
"18";"51994";"4";"4"
"32";"52000";"4";"4"
"81";"52001";"4";"4"
"3";"52002";"4";"4"
"2";"52007";"4";"4"
"5";"52015";"4";"4"
"1";"52021";"4";"4"
"13";"52022";"4";"4"
"1";"52024";"4";"4"
"2";"52036";"4";"4"
"1";"52045";"1";"1"
"1";"52054";"4";"4"
"1";"52061";"1";"1"
"6";"52073";"4";"4"
"1";"52083";"1";"1"
