"id";"profile_1";"profile_2";"reputation";"avgScoreQuestion";"avgScoreAnswers";"avgScoreComments";"sumScoreQuestion";"sumScoreAnswers";"sumScoreComments"
"28874";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28878";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28879";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28883";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28888";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28896";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28898";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28899";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28900";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28901";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28930";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28946";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28953";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28965";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28975";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28978";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28980";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28983";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28984";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28996";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28997";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29005";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29020";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29021";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29049";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29057";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29058";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29064";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29080";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29082";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29085";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29086";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29101";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29103";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29108";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29109";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29111";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29122";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29128";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29132";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29135";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29159";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29160";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29162";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29174";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29183";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29207";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29208";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29210";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29216";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29217";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29220";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29232";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29238";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29248";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29252";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29258";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29263";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29276";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29281";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29285";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29297";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29302";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29305";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29331";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29346";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29349";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29354";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29355";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29364";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29368";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29397";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29410";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29413";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29418";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29420";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29426";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29437";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29439";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29442";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29443";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29446";"1";"1";"1";\N;"-1,0000";\N;\N;"-1";\N
"29450";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29452";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29471";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29472";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29477";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29478";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29495";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29497";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29503";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29525";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29526";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29528";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29532";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29546";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29552";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29554";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29555";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29556";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29559";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29563";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29566";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29567";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29568";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29572";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29575";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29577";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29579";"1";"1";"1";\N;"-2,0000";\N;\N;"-2";\N
"29583";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29589";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29590";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29591";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29597";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29600";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29607";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29608";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29624";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29628";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29639";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29640";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29642";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29645";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29648";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29652";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29657";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29658";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29663";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29671";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29679";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29687";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29688";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29693";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29698";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29706";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29726";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29728";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29730";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29733";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29759";"1";"1";"1";\N;"0,0000";\N;\N;"0";\N
"29761";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29762";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29767";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29779";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29787";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29789";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29798";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29799";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29801";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29807";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29813";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29818";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29820";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29821";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29824";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29828";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29831";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29834";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29843";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29845";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29847";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29857";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29858";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29860";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29867";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29870";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29872";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29886";"1";"1";"1";\N;"0,0000";\N;\N;"0";\N
"29891";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29894";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29897";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29899";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29900";"1";"1";"1";\N;"-3,0000";\N;\N;"-3";\N
"29901";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29902";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29928";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29937";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29938";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29941";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29944";"1";"1";"1";\N;"-1,0000";\N;\N;"-1";\N
"29950";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29952";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29992";"1";"1";"1";\N;\N;\N;\N;\N;\N
"29996";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30004";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30006";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30012";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30017";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30029";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30031";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30035";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30037";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30044";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30054";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30061";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30062";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30063";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30074";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30075";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30081";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30093";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30107";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30114";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30116";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30120";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30125";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30127";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30129";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30130";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30133";"1";"1";"1";"2,5000";\N;"0,0000";"5";\N;"0"
"30135";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30136";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30153";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30154";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30155";"1";"1";"1";\N;\N;\N;\N;\N;\N
