"profile";"minRep";"maxRep";"profileTotalUser";"percent"
"1";"1";"1";"8802";"39,8389"
"2";"2";"21";"2604";"11,7860"
"3";"22";"101";"6897";"31,2166"
"4";"102";"36970";"3791";"17,1585"
